const,LotArea,OverallQual,Age,GrLivArea,FullBath,CentralAir_Y,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010
1.0,8520,5,70,1385,2,1,0,0,1,0,0,0,1
1.0,10335,7,23,1501,2,1,0,1,0,0,0,1,0
1.0,9100,5,59,1728,2,1,0,0,1,0,0,0,0
1.0,2522,6,18,1709,2,1,0,1,0,0,0,0,0
1.0,6120,5,91,875,1,1,0,0,1,0,0,1,0
1.0,9505,7,21,2035,2,1,0,1,0,0,0,0,1
1.0,7500,7,18,1080,1,1,0,1,0,0,1,0,0
1.0,6240,5,86,1344,1,1,0,0,1,0,0,0,0
1.0,10356,5,47,969,1,1,0,0,1,1,0,0,0
1.0,13891,8,15,1710,2,1,0,1,0,0,1,0,0
1.0,14803,6,51,1993,2,1,0,0,1,0,0,0,0
1.0,13500,6,62,1252,1,1,0,0,1,0,1,0,0
1.0,11340,6,99,1200,1,1,0,0,1,0,0,0,0
1.0,9600,6,98,1096,1,0,0,0,1,0,1,0,0
1.0,7200,5,72,1040,1,1,0,0,1,0,0,0,0
1.0,12003,8,13,1968,2,1,0,0,0,0,0,0,1
1.0,12552,7,18,1947,2,1,0,1,0,0,0,0,1
1.0,19378,7,17,2462,2,1,0,1,0,0,0,0,0
1.0,11120,6,38,1232,2,1,0,0,1,0,1,0,0
1.0,13688,9,19,2668,2,1,0,0,0,0,1,0,0
1.0,12182,7,17,1541,2,1,0,1,0,0,0,0,1
1.0,5500,4,66,882,1,1,0,0,1,1,0,0,0
1.0,5400,6,96,1616,2,1,0,1,0,1,0,0,0
1.0,10106,5,82,1355,2,1,0,0,1,0,1,0,0
1.0,10708,5,67,1867,1,1,0,0,1,0,0,1,0
1.0,10562,8,15,2161,1,1,0,0,0,1,0,0,0
1.0,8244,7,18,1720,2,1,0,1,0,1,0,0,0
1.0,16669,8,41,1707,2,1,0,0,1,0,0,0,0
1.0,12358,5,81,1382,1,1,0,0,1,1,0,0,0
1.0,31770,6,62,1656,1,1,0,0,1,0,0,0,1
1.0,5306,7,35,1767,2,1,0,1,0,0,0,0,0
1.0,10197,6,61,1362,1,1,0,0,1,0,1,0,0
1.0,12416,6,36,1651,2,1,0,0,1,0,1,0,0
1.0,12615,6,72,2158,2,1,0,1,0,1,0,0,0
1.0,10029,6,34,2060,2,1,0,0,1,1,0,0,0
1.0,13650,5,64,1920,2,1,0,1,0,0,0,0,0
1.0,17423,9,14,2234,2,1,0,0,0,0,0,1,0
1.0,8520,5,99,968,1,1,0,0,1,1,0,0,0
1.0,2117,6,22,1525,2,1,0,1,0,1,0,0,0
1.0,7588,7,102,1802,1,1,0,0,1,0,0,0,0
1.0,9060,5,65,1340,1,1,0,0,1,1,0,0,0
1.0,11426,7,19,2082,2,1,0,1,0,0,1,0,0
1.0,7438,5,114,1252,1,1,0,0,1,0,0,0,0
1.0,22950,10,130,3608,2,1,0,0,0,0,0,0,0
1.0,9947,7,32,1217,2,1,0,1,0,0,0,1,0
1.0,10410,5,106,1656,2,1,0,0,1,0,0,1,0
1.0,7018,5,43,1224,0,1,0,0,1,0,0,1,0
1.0,4923,8,21,1593,1,1,0,0,0,0,1,0,0
1.0,10570,8,90,2727,2,1,0,1,0,1,0,0,0
1.0,7472,7,50,1479,1,1,0,1,0,1,0,0,0
1.0,9017,7,23,1431,2,1,0,1,0,0,0,1,0
1.0,2522,7,18,1709,2,1,0,1,0,0,0,0,0
1.0,7180,5,50,864,1,1,0,0,1,0,1,0,0
1.0,2280,6,46,1456,2,1,0,0,1,0,0,1,0
1.0,9416,7,15,1726,2,1,0,0,0,1,0,0,0
1.0,25419,8,104,3112,2,1,0,1,0,0,0,0,0
1.0,5520,6,110,2229,1,1,0,0,1,0,0,1,0
1.0,9591,8,18,1713,2,1,0,0,0,0,0,1,0
1.0,8546,4,19,1121,2,1,0,0,1,0,0,0,1
1.0,10125,6,45,1279,2,1,0,0,1,0,1,0,0
1.0,7000,6,98,1310,2,1,0,0,1,0,0,0,0
1.0,4438,6,18,848,1,1,0,1,0,0,1,0,0
1.0,3500,5,75,1284,1,1,0,0,1,0,0,1,0
1.0,11851,7,32,1442,2,1,0,0,1,0,0,1,0
1.0,13673,5,60,1696,1,1,0,0,1,1,0,0,0
1.0,12493,4,62,1100,1,1,0,0,1,0,1,0,0
1.0,14364,7,34,2062,2,1,0,0,1,1,0,0,0
1.0,8250,6,58,1092,1,1,0,0,1,0,1,0,0
1.0,5604,5,97,864,1,0,0,0,1,0,1,0,0
1.0,10420,6,13,1212,2,1,0,1,0,0,0,0,1
1.0,8640,7,13,1852,2,1,0,1,0,0,0,1,0
1.0,13568,5,27,990,1,1,0,0,1,0,0,0,0
1.0,10900,6,45,1392,1,1,0,0,1,0,0,0,1
1.0,10011,5,65,1236,1,1,0,1,0,0,0,0,0
1.0,8450,7,18,1436,2,1,0,1,0,0,1,0,0
1.0,9906,4,97,1328,1,0,0,0,1,0,0,0,0
1.0,15660,7,83,1954,1,1,0,1,0,0,1,0,0
1.0,3010,7,17,1248,2,1,0,1,0,0,0,0,0
1.0,8990,7,16,1498,2,1,0,1,0,0,0,0,0
1.0,8068,6,20,2267,2,1,0,1,0,0,0,1,0
1.0,11475,6,47,1552,2,1,0,0,1,0,0,0,0
1.0,10500,4,51,864,1,1,0,0,1,0,0,1,0
1.0,13472,10,19,2392,2,1,0,0,0,0,0,1,0
1.0,1680,5,51,1302,2,1,0,0,1,0,0,1,0
1.0,9950,7,27,2520,2,1,0,1,0,1,0,0,0
1.0,1869,6,52,987,1,1,0,0,1,0,1,0,0
1.0,8521,5,55,912,1,1,0,0,1,0,0,0,1
1.0,3182,7,17,1555,2,1,0,1,0,0,0,1,0
1.0,8760,6,63,1194,1,1,0,0,1,0,0,0,1
1.0,15138,8,27,2794,2,1,0,0,0,0,0,1,0
1.0,1680,6,50,987,1,1,0,0,1,0,0,0,0
1.0,10650,5,46,894,1,1,0,0,1,0,0,0,1
1.0,7851,6,20,1960,2,1,0,1,0,0,0,0,1
1.0,1680,6,51,987,1,1,0,0,1,0,1,0,0
1.0,8773,7,18,1414,2,1,0,1,0,0,0,0,1
1.0,9453,7,29,1744,2,1,0,1,0,0,0,0,1
1.0,12030,8,15,1694,2,1,0,1,0,1,0,0,0
1.0,8741,6,77,1487,1,1,0,0,1,0,0,0,1
1.0,9000,8,14,1566,2,1,0,1,0,0,0,0,1
1.0,3880,5,77,866,1,1,0,1,0,1,0,0,0
1.0,5000,5,122,1440,1,0,0,0,1,0,0,0,0
1.0,10762,6,42,1217,1,1,0,0,1,0,0,1,0
1.0,8880,7,28,2110,2,1,0,1,0,0,0,0,1
1.0,10400,7,34,1872,2,1,0,0,1,0,0,0,0
1.0,9142,6,112,1928,2,0,1,0,0,0,0,0,0
1.0,11310,6,68,1375,1,1,0,0,1,0,0,0,0
1.0,11317,7,19,1668,2,1,0,1,0,1,0,0,0
1.0,159000,6,64,2144,2,1,0,1,0,1,0,0,0
1.0,5350,3,82,1306,1,1,1,0,0,0,0,0,1
1.0,4750,8,16,1625,2,1,0,1,0,1,0,0,0
1.0,8366,6,18,1640,2,1,0,1,0,0,1,0,0
1.0,9350,6,58,1302,2,1,0,1,0,1,0,0,0
1.0,8400,5,65,1314,1,1,0,0,1,0,0,0,1
1.0,8738,7,23,2291,2,1,0,1,0,0,0,0,0
1.0,8791,6,19,1728,2,1,0,1,0,0,1,0,0
1.0,8814,7,16,1604,2,1,0,1,0,0,0,1,0
1.0,12435,7,21,1792,2,1,0,1,0,0,1,0,0
1.0,12702,5,66,882,1,1,0,0,1,0,1,0,0
1.0,19296,6,60,1382,1,1,0,0,1,0,0,1,0
1.0,9588,8,15,2574,2,1,0,0,0,1,0,0,0
1.0,8471,6,45,1212,1,1,0,0,1,0,0,0,0
1.0,5500,5,93,1316,1,1,0,0,1,0,0,0,1
1.0,5232,5,97,764,1,0,0,0,1,0,1,0,0
1.0,12090,6,41,1422,2,1,0,1,0,0,1,0,0
1.0,11207,6,25,1511,2,1,0,0,1,0,0,0,0
1.0,8400,5,83,2192,2,1,0,1,0,0,1,0,0
1.0,6900,5,82,778,1,1,0,0,1,0,1,0,0
1.0,7917,6,46,1113,1,1,0,0,1,1,0,0,0
1.0,10728,8,16,1939,2,1,0,1,0,0,0,0,0
1.0,39104,7,68,1363,1,1,0,0,1,0,1,0,0
1.0,11764,8,23,2270,2,1,0,1,0,0,0,0,1
1.0,9600,6,64,1632,2,1,0,0,1,0,0,1,0
1.0,8314,5,40,816,1,1,0,0,1,1,0,0,0
1.0,7264,7,97,1548,2,0,0,0,0,0,0,1,0
1.0,9196,7,19,1560,2,1,0,1,0,0,0,0,1
1.0,19138,4,71,864,1,1,0,0,1,0,0,0,1
1.0,14450,9,16,2121,2,1,0,0,0,1,0,0,0
1.0,10005,7,45,2022,2,1,0,0,1,0,1,0,0
1.0,11287,7,33,1982,2,1,0,1,0,1,0,0,0
1.0,7200,6,16,1262,2,1,0,1,0,0,0,0,0
1.0,5063,7,15,1314,2,1,0,1,0,0,0,1,0
1.0,9612,8,14,1468,2,1,0,1,0,0,0,1,0
1.0,8012,6,30,1575,2,1,0,1,0,1,0,0,0
1.0,4251,7,16,1250,2,1,0,1,0,1,0,0,0
1.0,9786,6,60,1734,1,1,0,1,0,0,0,0,0
1.0,8125,4,51,858,1,1,0,0,1,0,0,0,0
1.0,9819,5,55,900,1,1,0,0,1,0,0,0,1
1.0,8730,6,107,1396,1,1,0,0,1,1,0,0,0
1.0,15611,8,16,1919,2,1,0,1,0,0,0,0,0
1.0,5687,5,110,1716,2,0,1,0,0,0,1,0,0
1.0,11409,5,73,1716,1,1,0,0,1,0,0,1,0
1.0,16659,7,45,2263,2,1,0,1,0,0,0,0,0
1.0,9600,6,69,1644,1,1,0,0,1,0,0,1,0
1.0,7937,6,38,1003,1,1,0,0,1,0,0,0,0
1.0,13710,5,72,1558,1,1,0,0,1,1,0,0,0
1.0,7399,7,25,1950,2,1,0,1,0,1,0,0,0
1.0,11700,6,54,1743,1,1,0,0,1,1,0,0,0
1.0,14000,6,72,1152,1,1,0,1,0,0,0,1,0
1.0,15750,5,69,1336,1,1,0,0,1,0,0,0,0
1.0,16226,8,24,2452,2,1,0,1,0,1,0,0,0
1.0,13704,7,21,1541,2,1,0,1,0,0,0,0,0
1.0,9800,5,50,894,1,1,0,0,1,0,0,0,0
1.0,18386,7,142,3493,3,1,0,1,0,0,1,0,0
1.0,10386,8,18,2000,2,1,0,1,0,1,0,0,0
1.0,13474,7,32,2243,2,1,0,1,0,1,0,0,0
1.0,7920,6,102,1406,1,1,1,0,0,0,1,0,0
1.0,12342,4,82,861,1,1,0,0,1,0,0,1,0
1.0,12378,9,19,1944,2,1,0,0,0,0,0,0,0
1.0,7685,6,29,1501,2,1,0,1,0,0,0,0,0
1.0,8000,6,74,972,1,1,0,0,1,0,0,1,0
1.0,7800,5,83,1118,1,1,0,0,1,0,0,0,0
1.0,215245,7,57,2036,2,1,0,0,1,0,0,1,0
1.0,9600,7,97,1641,1,1,0,0,0,0,0,0,0
1.0,7795,7,18,1432,2,1,0,1,0,0,0,1,0
1.0,13005,7,42,2353,2,1,0,0,0,0,0,1,0
1.0,9000,8,16,1959,2,1,0,1,0,1,0,0,0
1.0,9900,7,29,2646,2,1,0,1,0,0,0,1,0
1.0,14115,7,42,1472,2,1,0,0,1,0,0,1,0
1.0,16259,9,16,2596,3,1,0,1,0,0,0,0,0
1.0,12099,8,18,2468,2,1,0,1,0,1,0,0,0
1.0,10380,7,36,2730,2,1,0,1,0,1,0,0,0
1.0,5820,3,67,1163,1,1,0,0,1,0,0,0,0
1.0,11275,7,55,2978,2,1,0,1,0,0,0,0,1
1.0,5000,5,81,803,1,0,0,0,1,1,0,0,0
1.0,10846,8,29,1719,1,1,0,1,0,0,1,0,0
1.0,11600,6,62,1383,1,1,0,0,1,0,0,0,0
1.0,11888,6,106,2134,2,0,0,1,0,0,0,1,0
1.0,6402,5,102,1192,1,0,0,0,1,0,0,1,0
1.0,10624,5,58,1728,2,1,0,0,1,1,0,0,0
1.0,8176,5,64,1056,1,1,0,0,1,1,0,0,0
1.0,10655,8,19,1629,2,1,0,1,0,0,0,1,0
1.0,8198,7,18,1358,2,1,0,1,0,0,1,0,0
1.0,9042,6,24,1638,2,1,0,0,1,0,1,0,0
1.0,164660,5,57,1786,2,1,0,0,1,0,1,0,0
1.0,14157,9,17,1922,2,1,0,1,0,1,0,0,0
1.0,9135,7,20,1536,2,1,0,1,0,0,1,0,0
1.0,14145,7,38,1621,2,1,0,1,0,0,0,0,0
1.0,12400,6,64,1215,1,1,0,0,1,0,0,1,0
1.0,14191,8,20,1908,2,1,0,1,0,0,0,0,1
1.0,8400,4,72,841,1,1,0,0,1,0,0,1,0
1.0,8544,3,73,1040,2,0,0,0,1,0,0,0,0
1.0,8849,9,17,1684,2,1,0,0,0,0,1,0,0
1.0,2592,5,46,1112,1,1,0,0,1,0,0,0,1
1.0,6435,6,83,1577,1,1,1,0,0,0,0,0,0
1.0,12772,6,62,958,1,1,0,0,1,1,0,0,0
1.0,17600,6,62,1478,2,1,0,0,1,0,0,1,0
1.0,2448,7,19,1626,2,1,0,1,0,0,1,0,0
1.0,20431,9,17,2728,2,1,0,0,0,0,0,0,0
1.0,7820,9,15,1869,2,1,0,0,0,1,0,0,0
1.0,5271,7,36,1453,1,1,0,1,0,0,0,0,0
1.0,9084,5,81,1111,1,0,0,0,1,0,1,0,0
1.0,8520,6,94,720,1,1,0,0,1,0,0,0,1
1.0,8400,6,82,1595,1,1,0,0,1,0,0,0,0
1.0,11249,6,27,1200,2,1,0,1,0,1,0,0,0
1.0,9248,6,30,1167,2,1,0,1,0,0,0,1,0
1.0,4224,5,46,1142,1,1,0,0,1,1,0,0,0
1.0,6930,5,64,1352,1,1,0,1,0,0,0,0,0
1.0,12011,8,24,1924,2,1,0,1,0,0,0,0,0
1.0,7540,6,44,912,1,1,0,0,1,1,0,0,0
1.0,9144,5,82,1505,1,1,0,0,1,0,1,0,0
1.0,7301,7,19,1922,3,1,0,1,0,0,0,1,0
1.0,1680,6,50,987,1,1,0,1,0,0,0,1,0
1.0,18800,6,46,1574,2,1,0,0,1,0,0,0,0
1.0,10690,5,102,1344,1,1,0,0,1,0,0,1,0
1.0,9500,6,59,1394,1,1,0,0,1,0,0,1,0
1.0,9150,6,60,1431,1,1,0,0,1,0,1,0,0
1.0,7800,5,68,1268,1,1,0,0,1,0,0,0,1
1.0,9830,5,63,1287,1,1,0,1,0,0,0,0,1
1.0,8121,6,22,1664,2,1,0,0,1,0,0,0,0
1.0,17120,4,63,1588,2,1,0,0,1,0,1,0,0
1.0,7175,6,38,752,1,1,0,0,1,0,0,0,1
1.0,10634,5,69,1319,1,1,0,0,1,0,0,1,0
1.0,8200,7,19,1928,2,1,0,1,0,1,0,0,0
1.0,10020,1,100,904,0,0,1,0,0,0,0,1,0
1.0,8846,5,26,914,1,1,0,0,1,0,0,0,0
1.0,11143,8,18,2466,3,1,0,1,0,1,0,0,0
1.0,11394,9,12,1856,1,1,0,0,0,0,0,0,1
1.0,8123,6,22,1800,2,1,0,0,1,0,0,1,0
1.0,5000,5,98,1691,2,1,0,1,0,0,0,0,1
1.0,7200,7,16,1301,2,1,0,1,0,0,0,0,0
1.0,9245,7,16,1797,2,1,0,1,0,1,0,0,0
1.0,9000,6,94,784,1,0,0,0,1,0,0,1,0
1.0,53107,6,30,1953,2,1,0,1,0,1,0,0,0
1.0,3182,8,18,1269,2,1,0,1,0,0,0,0,1
1.0,8410,5,112,1184,1,1,0,0,1,0,0,0,0
1.0,7200,6,46,1125,1,1,0,0,1,0,0,1,0
1.0,9382,7,23,1479,2,1,0,1,0,0,1,0,0
1.0,12474,10,15,2332,2,1,0,0,0,0,1,0,0
1.0,8405,5,122,1367,1,1,0,0,1,0,1,0,0
1.0,12209,6,21,1961,2,1,0,1,0,0,0,1,0
1.0,8339,5,63,882,1,1,0,0,1,1,0,0,0
1.0,7446,4,81,788,1,1,0,0,1,0,0,0,0
1.0,10134,5,82,1034,1,1,0,0,1,1,0,0,0
1.0,9571,5,66,1144,1,1,0,0,1,0,0,0,1
1.0,7200,5,50,894,1,1,0,0,1,0,0,1,0
1.0,7590,5,60,1812,2,1,0,0,1,1,0,0,0
1.0,8967,5,102,1077,1,1,0,0,1,1,0,0,0
1.0,8125,7,16,1550,2,1,0,1,0,0,0,1,0
1.0,14963,8,26,1288,1,1,0,0,0,0,1,0,0
1.0,8767,7,17,1310,2,1,0,1,0,0,0,0,0
1.0,10200,5,82,672,1,1,0,0,1,0,1,0,0
1.0,12090,8,24,2263,2,1,0,1,0,0,0,0,0
1.0,10364,6,27,1572,2,1,0,0,1,1,0,0,0
1.0,9991,4,46,1620,2,1,0,0,1,0,0,1,0
1.0,10480,6,86,1639,1,1,0,0,1,0,1,0,0
1.0,15576,6,107,1680,2,1,0,0,1,0,1,0,0
1.0,14154,7,16,2172,2,1,0,1,0,1,0,0,0
1.0,10800,8,15,2078,2,1,0,0,0,0,1,0,0
1.0,9571,5,64,1276,1,1,0,0,1,0,0,1,0
1.0,34650,5,67,1056,1,0,0,0,1,0,0,0,0
1.0,4403,7,13,1478,2,1,0,1,0,0,0,0,1
1.0,8960,5,95,1028,1,1,0,0,1,0,0,0,1
1.0,11228,7,29,2097,2,1,0,1,0,0,1,0,0
1.0,8899,7,15,1340,2,1,0,1,0,1,0,0,0
1.0,7844,6,44,1400,1,1,0,0,1,0,0,0,0
1.0,22420,6,104,2624,2,0,0,0,1,1,0,0,0
1.0,8160,5,82,1134,1,0,0,0,1,1,0,0,0
1.0,8450,5,54,1056,1,1,0,0,1,0,0,0,1
1.0,7060,7,25,1344,2,1,0,0,1,0,1,0,0
1.0,16635,6,45,1602,2,1,0,1,0,0,0,1,0
1.0,21750,5,68,988,1,1,0,0,1,0,1,0,0
1.0,9200,8,24,2630,2,1,0,1,0,0,1,0,0
1.0,9000,6,66,1196,1,1,0,0,1,0,1,0,0
1.0,3378,7,76,1389,1,1,0,0,1,0,0,1,0
1.0,12800,7,33,1644,2,1,0,1,0,0,0,1,0
1.0,8593,4,65,907,1,1,0,0,1,0,1,0,0
1.0,6762,7,15,1208,2,1,0,1,0,1,0,0,0
1.0,11457,6,34,1412,2,1,0,1,0,0,0,1,0
1.0,1680,6,51,987,1,1,0,0,1,0,1,0,0
1.0,5586,6,102,1198,1,1,0,0,1,0,1,0,0
1.0,1920,5,51,1365,1,1,0,0,1,1,0,0,0
