Id,GarageType,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond
816,Attchd,1998,2,598,TA,TA
1028,Attchd,2008,3,800,TA,TA
60,Detchd,1973,1,352,TA,TA
941,Attchd,1976,2,574,TA,TA
108,Detchd,1948,1,250,TA,TA
660,Detchd,1968,2,480,TA,TA
1141,Detchd,1988,2,840,TA,TA
1220,,,0,472.980137,,
1130,Detchd,1980,2,672,TA,TA
1118,Attchd,1967,2,450,TA,TA
738,Attchd,2005,3,800,TA,TA
1041,Attchd,1957,2,484,TA,TA
1107,Attchd,1990,2,719,TA,TA
542,BuiltIn,2000,3,648,TA,TA
389,Attchd,1999,2,577,TA,TA
955,,,0,472.980137,,
301,Attchd,1953,1,375,TA,TA
482,Attchd,2003,3,874,TA,TA
256,BuiltIn,1999,2,429,TA,TA
844,,,0,472.980137,,
669,Detchd,1999,2,576,TA,TA
73,Attchd,1998,2,427,TA,TA
244,Attchd,1980,1,288,TA,TA
1444,Detchd,1916,1,192,Fa,Po
1329,Detchd,1920,2,520,Fa,TA
1231,BuiltIn,1977,2,600,TA,TA
1247,Attchd,2005,2,615,TA,TA
1024,Attchd,2005,2,437,TA,TA
1266,Detchd,1999,2,506,TA,TA
180,Detchd,1935,2,480,Fa,TA
1209,Detchd,1980,2,506,TA,TA
6,Attchd,1993,2,480,TA,TA
1194,Attchd,1999,2,402,TA,TA
198,Detchd,1918,2,795,TA,TA
905,Attchd,1967,1,288,TA,TA
1116,Attchd,2007,3,928,TA,TA
853,Detchd,1941,1,240,TA,TA
602,Detchd,1979,1,544,TA,TA
326,Detchd,1941,2,360,TA,TA
502,Attchd,2005,2,603,TA,TA
423,Attchd,1954,2,520,TA,TA
556,Detached,1922,1,280,TA,TA
265,Detached,1965,2,504,TA,TA
1114,Attchd,1953,1,240,TA,TA
1177,Attchd,1984,1,264,TA,TA
1408,,,0,472.980137,,
1353,Detached,1999,2,624,TA,TA
328,Attchd,1960,1,292,TA,TA
469,Attchd,2006,3,866,TA,TA
680,Detached,1963,2,572,TA,TA
1120,Attchd,1959,1,286,TA,TA
493,Attchd,2006,2,429,TA,TA
5,Attchd,2000,3,836,TA,TA
387,,,0,472.980137,,
792,Attchd,1976,2,539,TA,TA
1222,Attchd,1968,1,322,TA,TA
353,Detached,1941,1,200,TA,Fa
327,Attchd,1993,2,473,TA,TA
500,Attchd,1958,1,297,TA,TA
967,Detached,1940,1,256,TA,TA
208,Attchd,1960,1,312,TA,TA
511,CarPort,1951,1,288,TA,TA
1126,Detached,1977,2,672,Fa,Fa
1241,Attchd,2003,2,543,TA,TA
345,Attchd,1976,1,336,TA,TA
574,BuiltIn,2000,2,400,TA,TA
985,Attchd,1977,2,539,TA,TA
591,Attchd,2004,2,520,TA,TA
219,Attchd,1939,2,431,TA,TA
190,Attchd,2001,2,682,TA,TA
1399,Attchd,1950,1,240,TA,TA
1002,Detchd,1920,1,216,Fa,TA
1338,,,0,472.980137,,
1013,Detchd,1923,1,180,TA,TA
810,Detchd,1910,2,360,Fa,Po
553,Attchd,2006,3,908,TA,TA
1410,Attchd,1986,2,542,TA,TA
371,Attchd,2000,2,460,TA,TA
324,Attchd,1955,1,220,Fa,TA
725,Attchd,2007,3,768,TA,TA
582,Attached,2009,3,1390,TA,TA
633,Attchd,1977,2,544,TA,TA
258,Attchd,2006,2,660,TA,TA
1043,Attchd,2005,2,624,TA,TA
76,BuiltIn,1973,1,297,TA,TA
696,Attchd,1987,2,551,TA,TA
531,Attchd,1988,2,600,TA,TA
718,Attchd,1973,2,439,TA,TA
505,Attchd,1974,2,440,TA,TA
1088,Attached,2005,3,1043,TA,TA
515,Detchd,1926,1,200,Po,Po
1162,Detchd,1993,2,924,TA,TA
1311,Attchd,1959,2,567,TA,TA
1287,Attchd,1963,2,528,TA,TA
510,Attchd,1959,1,270,TA,TA
90,,,0,472.980137,,
1193,Detchd,1925,1,250,TA,Fa
227,Attchd,1995,3,721,TA,TA
166,,,0,472.980137,,
82,Attchd,1998,2,405,TA,TA
1215,Attchd,1962,1,300,TA,TA
1430,Attchd,1981,2,467,TA,TA
1059,Attchd,2008,3,836,TA,TA
1148,Attchd,1941,1,234,TA,TA
519,Attchd,1998,2,546,TA,TA
1239,Detchd,2005,2,484,TA,TA
784,Attchd,1978,2,602,TA,TA
1087,Attchd,1973,1,286,TA,TA
780,Attchd,1977,2,504,TA,TA
521,,,0,472.980137,,
609,Basment,1934,2,380,TA,TA
856,Detchd,1962,1,260,TA,TA
92,Attchd,1961,2,480,TA,TA
488,Attchd,1971,2,487,TA,TA
356,Attchd,1995,2,521,TA,TA
625,Attchd,1972,2,484,TA,TA
406,Attchd,1993,2,490,TA,TA
1078,Attchd,1969,1,299,TA,TA
1225,Attchd,2004,2,388,TA,TA
1,Attchd,2003,2,548,TA,TA
274,Attchd,1958,1,338,TA,TA
571,Detchd,1987,2,576,TA,TA
565,Attchd,1992,2,590,TA,TA
64,Detchd,1990,2,480,TA,TA
1271,Attchd,1979,2,586,TA,TA
358,Attchd,1976,2,528,TA,TA
870,Attchd,1993,2,574,TA,TA
845,Detchd,1949,3,720,TA,TA
396,Attchd,1956,1,596,TA,TA
3,Attchd,2001,2,608,TA,TA
1204,Attchd,2000,2,451,TA,TA
316,Attchd,2004,2,432,TA,TA
164,,,0,472.980137,,
710,Attchd,1966,1,408,TA,TA
162,BuiltIn,2003,3,726,TA,TA
146,Detchd,2004,2,380,TA,TA
1449,Detchd,1950,1,384,Fa,TA
507,Attchd,1993,2,471,TA,TA
1151,Attchd,1950,1,306,TA,TA
362,Detchd,1940,1,240,TA,TA
1367,Attchd,1999,2,588,TA,TA
1053,Attchd,1964,2,540,TA,TA
176,Attchd,1950,2,576,TA,TA
142,Attchd,2005,2,660,TA,TA
690,Attchd,2005,2,460,TA,TA
1352,Attchd,1962,2,490,TA,TA
1045,Attchd,1981,2,542,TA,TA
236,Detchd,1971,1,264,TA,TA
1109,Attchd,2000,2,463,TA,TA
530,Attchd,1975,2,484,TA,TA
1175,Detchd,1932,2,360,TA,TA
1198,Detchd,1916,1,225,TA,TA
568,Attchd,2004,2,532,TA,TA
159,Attchd,2004,2,678,TA,TA
442,,,0,472.980137,,
34,Attchd,1959,2,447,TA,TA
1240,Attchd,2006,2,472,TA,TA
1060,Detchd,1977,2,432,TA,Fa
1293,Attchd,1985,1,432,TA,TA
107,Detchd,1954,1,273,Fa,Fa
1369,Attchd,2003,2,420,TA,TA
484,Attchd,1998,2,402,TA,TA
121,Attchd,1969,2,540,TA,TA
55,Detchd,1962,2,572,TA,TA
1437,Detchd,1974,2,528,TA,TA
923,Attchd,2005,2,397,TA,TA
957,Attchd,1980,2,462,TA,TA
168,Attchd,2007,3,789,TA,TA
346,Detchd,1939,1,312,TA,TA
1104,BuiltIn,1954,2,539,TA,TA
479,Attchd,2007,3,826,TA,TA
1336,Attchd,1977,2,630,TA,TA
311,Attchd,1993,2,420,TA,TA
333,Attchd,2003,3,880,TA,TA
666,Attchd,2000,2,504,TA,TA
369,Attchd,1954,1,244,TA,TA
979,Detchd,1999,2,400,TA,TA
130,2Types,1998,2,750,TA,TA
737,Detchd,1949,2,400,TA,TA
420,Attchd,1968,1,304,TA,TA
1323,Attchd,1992,2,564,TA,TA
101,Attchd,1977,2,480,TA,TA
368,Basment,1962,1,296,TA,TA
357,Attchd,1992,2,400,TA,TA
1351,Detchd,1969,4,968,TA,TA
770,BuiltIn,2003,3,841,TA,TA
490,Attchd,1970,1,286,TA,TA
1187,CarPort,1920,2,420,Fa,Fa
687,Attchd,2007,2,578,TA,TA
438,Detchd,1926,1,180,TA,TA
1129,BuiltIn,2004,2,434,TA,TA
1274,Basment,1959,1,312,TA,TA
1196,Attchd,2005,2,400,TA,TA
925,Attchd,1980,2,612,TA,TA
1121,Detchd,1920,1,308,TA,TA
1288,Attchd,1964,2,390,TA,TA
1397,Detchd,1966,2,572,TA,TA
100,,,0,472.980137,,
762,Detchd,1965,2,440,TA,TA
1428,Attchd,1962,1,288,TA,TA
361,Attchd,1978,2,470,TA,TA
1377,Detchd,1925,1,160,Fa,TA
305,Attchd,2003,3,870,TA,TA
1346,Detchd,1997,1,308,TA,TA
405,BuiltIn,1995,2,373,TA,TA
705,Attchd,2004,2,606,TA,TA
209,Attchd,1988,2,454,TA,TA
372,Detchd,1991,2,680,TA,TA
936,Detchd,1953,2,528,TA,TA
286,Detchd,2006,2,528,TA,TA
775,Attchd,2006,3,895,TA,TA
1409,Detchd,1966,2,528,TA,TA
1213,Attchd,1941,1,234,TA,TA
367,Attchd,1963,2,514,TA,TA
684,Attchd,2002,3,702,TA,TA
283,Attchd,2008,2,626,TA,TA
1176,Attchd,1992,2,541,TA,TA
506,Detchd,1952,2,400,TA,TA
1160,Attchd,1974,2,540,Gd,TA
1417,Detchd,1971,2,560,TA,TA
1258,,,0,472.980137,,
218,Detchd,1940,1,210,TA,TA
1140,Detchd,1972,2,495,TA,TA
946,Detchd,1963,2,456,TA,TA
1137,Attchd,1950,1,288,TA,TA
148,BuiltIn,2001,2,434,TA,TA
110,Attchd,1977,2,546,TA,TA
1169,Basment,1935,2,540,TA,TA
1007,Attchd,1970,2,484,TA,TA
1380,BuiltIn,2007,2,400,TA,TA
251,,,0,472.980137,,
359,BuiltIn,1958,1,288,TA,TA
1172,Attchd,1958,2,433,TA,TA
548,Detchd,1987,2,624,TA,TA
45,Attchd,1959,1,300,TA,TA
1299,Attached,2008,2,1418,TA,TA
817,Attchd,1954,1,275,TA,TA
779,Detchd,1977,2,630,TA,TA
1186,Attchd,1965,1,392,TA,TA
1105,Detchd,1970,2,440,TA,TA
823,BuiltIn,2003,2,433,TA,TA
1066,Attchd,1996,2,533,TA,TA
350,Attchd,2006,3,706,TA,TA
878,Attchd,2004,3,738,TA,TA
1195,Attchd,1969,1,299,TA,TA
695,Detchd,1995,2,576,TA,TA
1342,Detchd,2004,2,576,TA,TA
93,Detchd,1921,2,432,TA,TA
447,Attchd,1966,2,578,TA,TA
1390,Detchd,2003,2,440,TA,TA
8,Attchd,1973,2,484,TA,TA
896,Attchd,1963,2,483,TA,TA
1339,BuiltIn,2002,2,492,TA,TA
1076,Attchd,1940,1,240,TA,TA
618,Detchd,1962,2,528,TA,TA
1021,Attchd,2005,2,451,TA,TA
1347,Attchd,1968,2,508,Gd,TA
102,Attchd,1985,2,476,TA,TA
114,Basment,1953,2,450,TA,TA
1324,,,0,472.980137,,
1400,Detchd,1925,1,216,Fa,TA
1365,Detchd,2005,2,480,TA,TA
1020,Attchd,2005,2,440,TA,TA
446,Attchd,1956,2,480,TA,TA
460,Detchd,1950,1,352,TA,TA
465,,,0,472.980137,,
349,BuiltIn,2003,2,474,TA,TA
692,Attchd,1994,3,832,TA,TA
586,Attchd,2005,3,880,TA,TA
533,Detchd,1967,1,392,TA,TA
715,Attchd,1976,2,475,TA,TA
1280,Detchd,1980,2,528,TA,TA
1435,Attchd,1977,2,484,TA,TA
429,Attchd,2007,2,628,TA,TA
1036,Detchd,1957,1,290,TA,TA
1004,Detchd,1976,2,528,TA,TA
538,Detchd,1980,2,576,TA,TA
503,Detchd,1965,2,461,Fa,Fa
843,Attchd,1966,2,490,Gd,Gd
612,Attchd,1978,2,564,TA,TA
1064,Detached,1976,2,440,TA,TA
761,Detached,2008,1,300,Ex,Ex
1424,Attchd,1966,2,432,Gd,Gd
701,Attchd,2002,3,765,TA,TA
220,Attchd,2005,2,438,TA,TA
1051,Attchd,2007,2,436,TA,TA
441,Attchd,2008,3,672,TA,TA
595,Detchd,1981,1,280,TA,TA
800,Detchd,1939,1,240,TA,TA
637,,,0,472.980137,,
1398,Detchd,1933,1,180,Fa,Fa
965,BuiltIn,2002,2,510,TA,TA
992,Attchd,1925,2,424,TA,TA
343,Detchd,1949,2,400,TA,TA
1079,Attchd,2004,2,420,TA,TA
733,Attchd,1998,2,541,TA,TA
1360,Attchd,2004,3,770,TA,TA
62,Detchd,1935,1,288,TA,TA
916,Attchd,1970,1,286,TA,TA
948,Attchd,2002,3,808,TA,TA
1236,Detchd,1914,1,180,Fa,Fa
806,Attchd,2008,2,554,TA,TA
1027,Attchd,1960,2,461,TA,TA
483,Attchd,1915,1,164,Fa,Fa
13,Detchd,1962,1,352,TA,TA
932,Detchd,1965,1,429,TA,TA
539,Attchd,1968,1,336,TA,TA
1197,BuiltIn,2006,3,660,TA,TA
797,Attchd,1977,2,528,TA,TA
1295,Detchd,1957,2,572,TA,TA
809,Attchd,1966,2,484,TA,TA
559,Attchd,1996,2,406,TA,TA
334,Attchd,2004,2,484,TA,TA
109,,,0,472.980137,,
1158,Attchd,2008,2,626,TA,TA
561,Detchd,1957,2,528,TA,TA
708,Attchd,2006,2,550,TA,TA
422,Attchd,1977,2,529,TA,TA
1098,Attchd,1987,2,461,TA,TA
462,Detchd,1971,2,576,TA,TA
963,Detchd,1976,2,440,TA,TA
1135,Attchd,1997,2,460,TA,TA
814,Attchd,1958,1,301,TA,TA
1345,Attchd,2006,2,440,TA,TA
365,Attchd,1976,2,566,TA,TA
486,Attchd,1950,1,264,TA,TA
1067,Attchd,1993,2,380,TA,TA
912,Detchd,1978,1,252,TA,TA
449,Detchd,1937,1,198,TA,TA
663,Attchd,1968,2,576,TA,TA
930,BuiltIn,1997,2,642,TA,TA
1180,,,0,472.980137,,
330,Detchd,1920,1,189,Fa,Fa
1001,Detchd,1956,2,528,TA,Fa
18,CarPort,1967,2,516,TA,TA
41,Attchd,1965,2,440,TA,TA
1253,Attchd,1968,1,288,TA,TA
321,Attchd,2006,3,840,TA,TA
961,,,0,472.980137,,
435,,,0,472.980137,,
1404,Attchd,2007,3,754,TA,TA
200,Attchd,2004,3,856,TA,TA
314,Attchd,1965,2,513,TA,TA
585,Detchd,1935,1,240,TA,TA
1348,Attchd,2006,3,712,TA,TA
154,Attchd,1960,2,564,TA,TA
1155,Attchd,1965,2,492,TA,TA
281,Attchd,1989,2,575,TA,TA
419,Detchd,1940,1,240,TA,TA
172,Attchd,1960,2,528,TA,TA
167,Attchd,1955,1,303,TA,TA
1081,Attchd,1971,2,528,TA,TA
734,Attchd,1961,1,264,TA,TA
1073,Detchd,1954,1,280,TA,TA
312,Detchd,1948,1,240,TA,TA
394,,,0,472.980137,,
456,Attchd,1973,2,528,TA,TA
458,Attchd,1954,2,529,TA,TA
648,Attchd,1953,2,495,TA,TA
141,,,0,472.980137,,
988,Attchd,2010,3,606,TA,TA
1419,Detchd,1962,1,336,TA,TA
631,Detchd,1937,1,240,Fa,Po
1312,Attchd,2005,2,508,TA,TA
1015,Detchd,1948,1,240,TA,TA
544,Attchd,1998,1,367,TA,TA
1429,Attchd,1940,1,240,TA,TA
1113,Detchd,1957,1,308,TA,TA
1298,Basment,2005,2,525,TA,TA
590,Detchd,1988,1,308,TA,TA
178,Attchd,1958,2,451,TA,TA
773,Detchd,1976,2,672,TA,TA
547,Detchd,1950,2,440,TA,TA
902,Detchd,1968,1,756,TA,TA
466,Attchd,2004,2,398,TA,TA
1228,Detchd,1992,2,576,TA,TA
1300,Attchd,1959,1,305,TA,TA
337,Attchd,2005,3,676,TA,TA
986,Detchd,1950,1,240,TA,TA
30,Detchd,1920,1,240,Fa,TA
1343,Attchd,2002,2,647,TA,TA
1202,Attchd,1998,2,546,TA,TA
294,Attchd,1977,2,539,TA,TA
913,Detchd,1925,1,450,TA,TA
1089,Detchd,2004,2,380,TA,TA
673,Attchd,1977,2,546,TA,TA
1314,BuiltIn,1999,3,779,TA,TA
1413,Detchd,1956,2,420,TA,TA
347,Attchd,1960,1,301,TA,TA
1412,Attchd,1950,1,271,TA,TA
1084,Attchd,1964,1,461,TA,TA
170,Attchd,1981,2,511,TA,TA
21,BuiltIn,2005,3,853,TA,TA
492,Attchd,1941,1,240,TA,TA
919,Attchd,1991,3,833,TA,TA
658,Attchd,1931,1,270,TA,TA
1206,Attchd,1990,3,701,TA,TA
22,Attchd,1930,1,280,TA,TA
277,Attchd,2003,2,573,TA,TA
739,,,0,472.980137,,
848,Attchd,1972,1,338,TA,TA
65,Attchd,1998,2,645,TA,TA
1085,Attchd,1995,2,409,TA,TA
1128,Attchd,2004,3,630,TA,TA
1090,Attchd,2005,2,550,TA,TA
450,Detchd,1981,1,308,TA,TA
1080,Attchd,1996,1,299,TA,TA
12,BuiltIn,2005,3,736,TA,TA
16,Detchd,1991,2,576,TA,TA
1223,Attchd,1949,1,315,TA,TA
918,Attchd,1956,1,284,TA,TA
113,BuiltIn,2007,3,792,TA,TA
1229,Attached,2008,3,1052,TA,TA
873,Attchd,1953,2,414,TA,TA
1281,Attchd,2002,2,544,TA,TA
1445,Attchd,2004,2,626,TA,TA
1364,BuiltIn,2007,2,432,TA,TA
336,Attchd,1965,2,529,TA,TA
250,Attchd,1958,2,389,TA,TA
1173,Detchd,2006,2,625,TA,TA
182,Detchd,1920,1,216,Fa,TA
385,Attchd,1992,2,501,TA,TA
1083,Attchd,2002,2,527,TA,TA
291,Attchd,2006,2,685,Gd,TA
659,Attchd,1948,1,330,TA,TA
1358,Attchd,1971,2,500,TA,TA
1318,Attchd,2006,2,466,TA,TA
137,Attchd,1967,1,318,TA,TA
608,Attchd,1948,1,230,TA,TA
476,Detchd,1996,2,624,TA,TA
1245,Detchd,1931,2,400,TA,TA
397,Detchd,1985,2,600,TA,TA
1317,Attchd,2008,3,860,TA,TA
1154,Detchd,2002,1,432,TA,TA
1138,,,0,472.980137,,
885,Attchd,1967,1,288,TA,TA
676,Attchd,1978,2,440,TA,TA
390,BuiltIn,2008,3,846,TA,TA
534,,,0,472.980137,,
1184,Detchd,1970,2,720,TA,TA
239,Attchd,2007,3,818,TA,TA
335,Attchd,1998,2,472,TA,TA
1042,Attchd,1966,2,484,TA,TA
813,Basement,1952,2,504,TA,TA
1416,Attchd,2007,3,660,TA,TA
112,BuiltIn,2000,2,400,TA,TA
386,Attchd,2004,2,430,TA,TA
1440,Attchd,1979,2,550,TA,TA
99,Basement,1920,1,366,Fa,TA
752,Attchd,2003,2,400,TA,TA
276,Detchd,1978,2,672,TA,TA
732,Attchd,2003,2,438,TA,TA
1307,Attchd,2005,2,474,TA,TA
1261,BuiltIn,1999,2,502,TA,TA
270,Attchd,1987,1,504,TA,Gd
628,Basement,1955,1,364,TA,TA
403,Detchd,1940,1,240,TA,TA
1145,Detchd,1941,1,280,TA,TA
1011,Attchd,1948,1,312,TA,TA
1183,Attchd,1996,3,813,TA,TA
445,Attchd,1994,2,493,TA,TA
149,,,0,472.980137,,
94,Detchd,1900,2,506,TA,TA
741,Detchd,1910,2,360,TA,Gd
377,Detchd,1998,2,576,TA,TA
1278,Attchd,1967,2,480,TA,TA
1106,Attchd,1994,2,712,TA,TA
384,Detchd,1950,2,360,Fa,Fa
1047,BuiltIn,2005,3,716,TA,TA
566,Detchd,1920,1,216,TA,TA
712,Detchd,1964,1,384,TA,TA
43,Attchd,1983,2,504,TA,Gd
558,CarPort,1994,1,570,TA,TA
1349,Attchd,1998,2,514,TA,TA
987,Attchd,1950,1,255,Fa,TA
833,Attchd,2003,2,613,TA,TA
1190,Attchd,1999,2,442,TA,TA
827,,,0,472.980137,,
1191,2Types,1975,4,1356,TA,TA
971,,,0,472.980137,,
812,Attchd,2004,2,420,TA,TA
517,Attchd,1972,2,583,TA,TA
341,Attchd,2002,2,431,TA,TA
747,BuiltIn,2000,2,554,TA,TA
52,Detchd,1985,2,528,TA,TA
1443,Attchd,2008,3,812,TA,TA
271,Attached,2006,3,1053,TA,TA
954,Attchd,1969,2,530,TA,TA
179,Attached,2009,3,1166,TA,TA
601,BuiltIn,2003,2,736,TA,TA
42,Attchd,1959,1,308,TA,TA
81,Attchd,1968,1,509,TA,TA
649,Attchd,1966,2,442,TA,TA
363,BuiltIn,2003,2,672,TA,TA
686,Attchd,1984,2,577,TA,TA
289,Detchd,1970,1,280,TA,TA
1214,Attchd,1965,1,364,TA,TA
242,,,0,472.980137,,
1181,Attchd,1990,2,693,TA,TA
1075,Attchd,2006,3,826,TA,TA
756,Detchd,1999,2,440,TA,TA
437,Detchd,1990,2,440,TA,TA
129,Attchd,1966,2,453,TA,TA
299,Attchd,1968,2,539,TA,TA
1210,Attchd,2006,2,500,TA,TA
224,Detchd,1989,2,576,TA,TA
395,Detchd,1940,1,240,TA,TA
629,Attchd,1969,2,504,TA,TA
280,Attchd,1977,2,505,TA,TA
638,BuiltIn,1954,1,256,TA,TA
584,Detchd,1988,2,880,Gd,TA
1284,,,0,472.980137,,
163,Attchd,2005,2,532,TA,TA
50,Attchd,1966,1,386,TA,TA
1056,Attchd,1976,2,478,TA,TA
1025,Attchd,1976,2,665,TA,TA
257,Attchd,2003,2,673,TA,TA
74,Attchd,1989,2,490,TA,TA
1453,Basment,2005,2,525,TA,TA
981,Attchd,1961,2,588,TA,TA
550,BuiltIn,2003,2,615,TA,TA
481,Attchd,2004,3,772,TA,TA
721,Attchd,1985,2,564,TA,TA
824,Detchd,1940,1,240,TA,TA
1355,Attchd,2000,3,839,TA,TA
611,Attchd,2000,3,736,TA,TA
865,Attchd,2008,2,529,TA,TA
272,Attchd,1954,2,439,TA,TA
994,Attchd,2005,2,564,TA,TA
1320,Attchd,1954,1,248,TA,TA
652,Detchd,1940,1,296,Fa,Po
1315,Detchd,1956,1,280,TA,TA
1263,Attchd,1957,1,304,TA,TA
33,Attchd,2007,2,484,TA,TA
1232,Attchd,1962,2,540,TA,TA
1423,Attchd,2003,2,420,TA,TA
1457,Attchd,1978,2,500,TA,TA
264,Detchd,1974,2,484,TA,TA
540,Attchd,2001,2,670,TA,TA
871,Detchd,1962,1,308,TA,TA
838,Detchd,1973,1,264,TA,TA
962,Attchd,1977,2,619,TA,TA
431,Detchd,1971,1,264,TA,TA
667,CarPort,1965,2,596,TA,TA
374,Attchd,1953,1,270,TA,TA
573,Attchd,2009,2,650,TA,TA
310,Attchd,2003,3,708,TA,TA
854,Attchd,1964,2,645,TA,TA
579,Detchd,2007,2,540,TA,TA
131,Attchd,1966,2,487,TA,TA
1376,Attchd,2007,3,722,TA,TA
364,Detchd,1972,1,264,TA,TA
366,Detchd,1964,1,468,TA,Fa
727,Attchd,1988,2,540,TA,TA
831,Attchd,1957,2,458,TA,TA
1016,Attchd,2001,2,528,TA,TA
785,,,0,472.980137,,
650,,,0,472.980137,,
240,Detchd,1949,1,220,TA,TA
882,Attchd,1990,2,400,TA,TA
1455,Attchd,2004,2,400,TA,TA
554,Detchd,2002,2,520,TA,TA
567,BuiltIn,2005,3,656,TA,TA
402,Attchd,2005,2,400,TA,TA
839,Attchd,1999,1,352,TA,TA
830,Detchd,2005,2,480,TA,TA
428,Detchd,1964,1,352,TA,TA
61,Detchd,2006,2,576,TA,TA
872,Attchd,1998,2,523,TA,TA
201,Attchd,2003,2,440,TA,TA
575,BuiltIn,1971,1,288,TA,TA
716,Attchd,1974,2,478,TA,TA
748,Detchd,1950,4,864,TA,TA
543,Attchd,1998,2,583,TA,TA
14,Attchd,2006,3,840,TA,TA
196,Attchd,1976,2,440,TA,TA
213,Attchd,2009,2,644,TA,TA
898,Detchd,1979,2,528,TA,TA
1149,Detchd,1982,1,288,TA,TA
549,Detchd,1963,2,720,TA,TA
58,Attchd,2004,2,565,TA,TA
1386,Detchd,1922,1,240,TA,TA
1310,Attchd,1991,2,496,TA,TA
528,Attchd,2008,3,858,TA,TA
233,Attchd,1972,1,288,TA,TA
982,Attchd,1998,3,676,TA,TA
