LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,OpenPorchSF,YrSold,SalePrice
7599,4,6,1982,845,TA,Y,845,845,1,2,1,3,4,0,2007,129500
10141,7,5,1998,832,Gd,Y,885,1718,2,3,1,3,7,94,2009,185000
10200,5,7,1954,1086,Gd,Y,1086,1086,1,3,1,3,6,0,2010,144900
5790,3,6,1915,840,Gd,N,840,1605,2,3,2,3,8,0,2010,107400
1596,4,5,1973,462,TA,Y,526,988,1,2,1,3,5,101,2009,91000
8475,4,7,1956,952,Ex,Y,952,952,1,2,1,3,4,0,2008,135750
8635,5,5,1948,672,TA,Y,1072,1285,1,2,1,3,6,0,2008,127000
10778,4,5,1968,1768,TA,N,1768,1768,2,4,2,3,8,0,2010,136500
10440,5,6,1910,440,Gd,Y,682,1230,1,2,1,3,5,0,2009,110000
13000,6,6,1968,896,TA,Y,1182,2142,2,4,1,4,8,72,2009,193500
4500,6,5,1998,1237,Ex,Y,1337,1337,2,2,1,3,5,199,2006,153500
10206,8,5,2007,1563,Ex,Y,1563,1563,2,3,1,4,6,99,2008,245000
8892,5,5,1960,1065,Gd,Y,1065,1065,1,3,1,3,6,0,2007,126500
8530,7,5,1995,384,Gd,Y,804,1474,2,3,1,3,7,72,2009,168500
16059,8,5,1991,1288,Ex,Y,1301,2417,2,4,1,4,9,82,2006,260000
11911,6,5,2005,684,Ex,Y,684,1560,2,3,1,4,6,38,2009,174000
3951,6,5,2009,612,Ex,Y,612,1224,2,2,1,4,4,234,2009,164500
8470,3,2,1915,1013,TA,N,1013,1526,1,2,1,2,6,0,2009,85000
8070,4,5,1994,990,Ex,Y,990,990,1,3,1,3,5,0,2007,123600
7200,4,5,1950,0,TA,Y,1040,1040,1,2,1,3,4,29,2006,109900
8500,5,3,1961,1235,TA,Y,1235,1235,1,2,1,3,6,0,2006,98600
13360,5,7,1921,876,Ex,Y,964,964,1,2,1,3,5,0,2009,163500
7200,6,6,1910,1214,Ex,N,1260,2291,2,4,2,3,9,0,2007,133900
9337,6,5,1997,824,Ex,Y,905,1786,2,3,1,4,7,162,2007,204750
9765,6,8,1993,680,Gd,Y,680,1470,2,3,1,3,6,63,2009,185000
10264,7,5,1999,1588,Ex,Y,1588,1588,2,3,1,4,6,29,2006,214000
10921,4,5,1965,960,TA,Y,960,960,1,3,1,3,6,0,2007,94750
10625,5,5,1920,458,Fa,N,835,835,1,2,1,3,5,0,2010,83000
9320,4,5,1959,950,Fa,Y,1225,1225,1,3,1,3,6,0,2010,128950
10603,6,7,1977,1610,Gd,Y,1610,1610,2,3,1,4,6,68,2010,205000
9206,6,5,1985,741,TA,Y,977,1732,2,3,1,4,7,46,2010,178000
7018,5,5,1979,0,TA,Y,1535,1535,2,4,2,3,8,0,2009,118964
10402,7,5,2009,1226,Ex,Y,1226,1226,2,3,1,4,6,36,2010,198900
7758,7,4,1931,1040,Ex,Y,1226,1818,1,4,1,3,7,0,2007,169500
9375,8,5,2003,1053,Ex,Y,1053,1992,2,3,1,4,9,45,2008,250000
10800,4,7,1885,641,Gd,Y,1047,1047,1,2,1,3,6,0,2007,100000
6000,5,5,1948,789,Ex,Y,789,789,1,2,1,3,5,0,2008,115000
8500,5,7,1919,793,TA,N,997,1517,2,3,1,2,7,0,2007,115000
11751,6,6,1977,1844,Ex,Y,1844,1844,2,3,1,3,7,122,2010,190000
9525,6,4,1954,994,Gd,Y,1216,1855,2,4,1,3,7,0,2006,136900
7750,7,5,2000,384,Ex,Y,774,1430,2,3,1,3,7,0,2010,180000
9965,7,5,2007,1264,Ex,Y,1282,2696,2,4,1,5,10,184,2007,383970
21000,6,5,1953,1809,TA,Y,2259,2259,2,3,1,4,7,120,2007,217000
7259,6,8,1945,1028,Ex,Y,1436,2320,2,3,1,4,9,0,2007,259500
3230,6,5,1999,729,Gd,Y,729,1458,2,2,1,3,5,32,2007,176000
11616,5,5,1962,1092,TA,Y,1092,1092,1,3,1,3,6,20,2009,139000
8536,5,5,2006,1125,Gd,Y,1125,1125,1,2,1,3,5,64,2007,155000
12376,7,5,1990,1673,Gd,Y,1699,3222,3,5,1,4,11,0,2010,320000
8461,6,5,2005,728,Ex,Y,728,1456,2,3,1,4,8,24,2006,163990
21453,6,5,1969,938,Ex,Y,988,988,1,1,1,3,4,130,2006,180000
6060,4,5,1939,732,Gd,Y,772,1123,1,3,1,3,4,0,2007,100000
9464,6,7,1958,1080,Gd,Y,1080,1080,1,3,1,3,5,0,2008,136000
7892,6,5,1993,1199,Ex,Y,1199,1199,2,2,1,4,5,63,2008,153900
17043,6,5,1979,1362,TA,Y,1586,1586,2,3,1,3,7,0,2009,181000
6780,6,8,1935,520,Gd,N,520,754,1,2,1,3,5,0,2006,84500
4928,6,5,1976,1078,TA,Y,958,958,2,2,1,3,5,205,2007,128000
4388,5,7,1930,672,Ex,Y,840,840,1,3,1,3,5,0,2007,87000
7590,6,5,1966,660,TA,Y,660,1348,1,3,1,3,6,108,2006,155000
8973,5,7,1958,1008,TA,Y,1053,1053,1,3,1,5,6,80,2006,150000
14200,7,6,1966,924,Ex,Y,1216,2157,2,4,1,4,8,66,2006,226000
12224,6,5,2000,992,Ex,Y,1022,2054,2,3,1,4,7,48,2009,244000
7388,5,6,1959,1063,Gd,Y,1327,1327,1,3,1,4,7,0,2007,150750
6853,8,5,2001,1267,Ex,Y,1296,1296,2,2,1,4,6,25,2009,220000
10335,5,6,1968,1461,Gd,Y,1721,1721,2,3,1,3,7,96,2006,180000
10400,7,6,1970,1304,Gd,Y,1682,1682,2,3,1,3,7,0,2008,174000
10355,5,5,1967,1214,TA,Y,1214,1214,2,3,1,3,5,111,2007,143000
11070,7,5,1988,1907,Gd,Y,1959,1959,3,5,2,3,9,0,2006,171000
9066,8,5,1999,1004,Ex,Y,1004,1852,2,3,1,4,7,106,2008,230000
15426,6,5,1997,928,Ex,Y,928,1764,2,3,1,4,7,99,2009,231500
10500,4,5,1971,864,TA,Y,864,864,1,3,1,3,5,0,2010,115000
11645,7,5,2005,1734,Ex,Y,1734,1734,2,3,1,4,7,24,2006,260000
8520,5,4,1952,910,Fa,Y,910,1385,2,4,1,3,6,0,2010,166000
10335,7,5,1999,1490,Ex,Y,1501,1501,2,3,1,4,6,29,2009,204000
9100,5,5,1963,1728,TA,Y,1728,1728,2,6,2,3,10,0,2006,125000
2522,6,5,2004,970,Ex,Y,970,1709,2,3,1,4,7,40,2006,130000
6120,5,7,1931,715,TA,Y,875,875,1,2,1,3,5,0,2009,105000
9505,7,5,2001,884,Ex,Y,884,2035,2,3,1,4,8,48,2010,222500
7500,7,5,2004,1080,Ex,Y,1080,1080,1,3,1,4,6,0,2008,141000
6240,5,4,1936,896,Gd,Y,896,1344,1,3,1,3,7,114,2006,115000
10356,5,6,1975,969,TA,Y,969,969,1,3,1,3,5,0,2007,122000
13891,8,5,2007,1710,Ex,Y,1710,1710,2,2,1,4,6,102,2008,372402
14803,6,5,1971,825,Gd,Y,1097,1993,2,4,1,3,8,66,2006,190000
13500,6,7,1960,1602,Gd,Y,1252,1252,1,1,1,3,4,0,2008,235000
11340,6,5,1923,1200,TA,Y,1200,1200,1,4,1,3,7,0,2006,125000
9600,6,5,1924,572,Fa,N,572,1096,1,2,1,3,5,8,2008,79000
7200,5,7,1950,0,TA,Y,1040,1040,1,2,1,3,5,0,2006,109500
12003,8,5,2009,774,Ex,Y,774,1968,2,4,1,5,8,75,2010,269500
12552,7,5,2004,991,Ex,Y,991,1947,2,3,1,4,8,136,2010,254900
19378,7,5,2005,1392,Ex,Y,1392,2462,2,4,1,4,9,132,2006,320000
11120,6,6,1984,1232,TA,Y,1232,1232,2,3,1,3,6,0,2008,162500
13688,9,5,2003,1572,Ex,Y,1572,2668,2,3,1,5,10,0,2008,412500
12182,7,5,2005,1541,Ex,Y,1541,1541,2,3,1,4,7,70,2010,220000
5500,4,6,1956,882,Ex,Y,882,882,1,1,1,3,4,0,2007,103200
5400,6,7,1926,1149,Gd,Y,1149,1616,2,3,1,4,5,0,2007,152000
10106,5,7,1940,644,Gd,Y,808,1355,2,4,2,3,6,0,2008,127500
10708,5,5,1955,1617,Ex,Y,1867,1867,1,2,1,3,7,0,2009,190000
10562,8,5,2007,1582,Ex,Y,1610,2161,1,3,1,5,8,120,2007,325624
8244,7,5,2004,840,Ex,Y,840,1720,2,3,1,4,7,48,2007,183500
16669,8,6,1981,1686,TA,Y,1707,1707,2,2,1,3,6,64,2006,228000
12358,5,6,1941,720,TA,Y,854,1382,1,2,1,3,7,0,2007,128500
31770,6,5,1960,1080,Fa,Y,1656,1656,1,3,1,3,7,62,2010,215000
5306,7,7,1987,1064,Gd,Y,1064,1767,2,2,1,4,5,35,2006,239000
10197,6,5,1961,1362,TA,Y,1362,1362,1,3,1,3,6,20,2008,163000
12416,6,5,1986,1606,TA,Y,1651,1651,2,3,1,3,7,0,2008,184000
12615,6,7,1950,1202,TA,Y,2158,2158,2,4,1,4,7,29,2007,243000
10029,6,5,1988,1151,TA,Y,1164,2060,2,4,1,3,8,228,2007,211000
13650,5,5,1958,1052,Ex,Y,1252,1920,2,4,1,4,8,0,2006,172500
17423,9,5,2008,2216,Ex,Y,2234,2234,2,1,1,5,9,60,2009,501837
8520,5,6,1923,968,TA,Y,968,968,1,2,1,3,5,0,2007,100000
2117,6,5,2000,756,Ex,Y,769,1525,2,3,1,4,5,0,2007,177000
7588,7,6,1920,793,Gd,Y,901,1802,1,4,1,3,9,0,2006,200100
9060,5,6,1957,0,Ex,Y,1340,1340,1,3,1,3,7,0,2007,120000
11426,7,5,2003,1362,Ex,Y,1362,2082,2,3,1,4,6,238,2008,200000
7438,5,8,1908,504,Gd,Y,936,1252,1,3,1,3,5,0,2006,127000
22950,10,9,1892,1107,Ex,Y,1518,3608,2,4,1,5,12,260,2006,475000
9947,7,5,1990,1188,Ex,Y,1217,1217,2,3,1,4,6,27,2009,173000
10410,5,7,1916,660,Ex,Y,808,1656,2,3,1,3,8,0,2009,135000
7018,5,5,1979,1086,TA,Y,1224,1224,0,2,2,3,6,0,2009,153337
4923,8,5,2001,1593,Ex,Y,1593,1593,1,0,1,5,5,120,2008,286000
10570,8,8,1932,853,TA,Y,1549,2727,2,3,1,4,10,74,2007,315000
7472,7,9,1972,725,Gd,Y,725,1479,1,4,1,4,7,32,2007,184000
9017,7,5,1999,1431,Ex,Y,1431,1431,2,3,1,4,6,35,2009,192000
2522,7,5,2004,970,Ex,Y,970,1709,2,3,1,4,7,40,2006,130000
7180,5,7,1972,864,TA,Y,864,864,1,3,1,3,5,0,2008,127000
2280,6,6,1976,855,TA,Y,855,1456,2,3,1,3,7,0,2009,148500
9416,7,5,2007,1726,Ex,Y,1726,1726,2,3,1,5,8,138,2007,311872
25419,8,4,1918,1360,Gd,Y,1360,3112,2,4,1,4,8,16,2006,235000
5520,6,6,1912,755,Ex,Y,929,2229,1,5,1,3,8,198,2009,104000
9591,8,5,2004,1713,Ex,Y,1713,1713,2,3,1,5,7,26,2009,274900
8546,4,5,2003,1121,Ex,Y,1121,1121,2,2,1,3,5,64,2010,140000
10125,6,6,1977,1196,TA,Y,1279,1279,2,3,1,3,6,83,2008,171500
7000,6,6,1924,617,Gd,Y,865,1310,2,2,1,3,6,0,2006,112000
4438,6,5,2004,848,Ex,Y,848,848,1,1,1,4,3,0,2008,149000
3500,5,7,1947,720,TA,Y,720,1284,1,2,1,3,5,35,2009,110000
11851,7,5,1990,1424,Ex,Y,1442,1442,2,3,1,3,5,34,2009,180500
13673,5,5,1962,1140,TA,Y,1696,1696,1,3,1,3,8,30,2007,143900
12493,4,5,1960,1100,TA,Y,1100,1100,1,3,1,3,6,0,2008,141000
14364,7,5,1988,1157,Ex,Y,1180,2062,2,3,1,3,7,55,2007,277000
8250,6,7,1964,1092,Ex,Y,1092,1092,1,3,1,3,6,0,2008,145000
5604,5,6,1925,864,TA,N,864,864,1,2,1,3,5,0,2008,98000
10420,6,5,2009,1212,Ex,Y,1212,1212,2,3,1,4,6,22,2010,186000
8640,7,5,2009,900,Ex,Y,932,1852,2,3,1,4,7,108,2009,252678
13568,5,5,1995,990,Ex,Y,990,990,1,3,1,3,5,0,2006,156000
10900,6,7,1977,689,Ex,Y,689,1392,1,3,1,3,6,36,2010,161750
10011,5,6,1957,1070,TA,Y,1236,1236,1,2,1,4,6,0,2006,134450
8450,7,5,2004,1436,Ex,Y,1436,1436,2,3,1,4,8,98,2008,210000
9906,4,4,1925,686,Fa,N,810,1328,1,3,1,3,8,172,2006,107000
15660,7,9,1939,798,Ex,Y,1137,1954,1,3,1,4,8,119,2008,311500
3010,7,5,2005,1248,Ex,Y,1248,1248,2,2,1,4,5,0,2006,167240
8990,7,5,2006,1498,Ex,Y,1498,1498,2,2,1,4,5,33,2006,204900
8068,6,5,2002,1010,Ex,Y,1010,2267,2,4,1,4,8,46,2009,200000
11475,6,6,1975,713,TA,Y,811,1552,2,3,1,3,6,208,2006,179900
10500,4,6,1971,864,Gd,Y,864,864,1,2,1,3,4,0,2009,97000
13472,10,5,2003,2392,Ex,Y,2392,2392,2,3,1,5,8,105,2009,386250
1680,5,5,1971,630,TA,Y,630,1302,2,3,1,3,6,0,2009,112000
9950,7,5,1995,1203,Ex,Y,1214,2520,2,4,1,4,9,114,2007,290000
1869,6,6,1970,483,TA,Y,483,987,1,2,1,3,5,0,2008,106000
8521,5,5,1967,912,TA,Y,912,912,1,3,1,3,5,0,2010,125000
3182,7,5,2005,1373,Ex,Y,1555,1555,2,2,1,4,7,20,2009,192500
8760,6,6,1959,1194,TA,Y,1194,1194,1,3,1,3,6,0,2010,148000
15138,8,5,1995,1462,Ex,Y,1490,2794,2,4,1,5,9,146,2009,403000
1680,6,5,1972,483,TA,Y,483,987,1,2,1,3,5,0,2006,94500
10650,5,6,1976,894,TA,Y,894,894,1,3,1,3,5,0,2010,128200
7851,6,5,2002,860,Ex,Y,860,1960,2,4,1,4,8,48,2010,216500
1680,6,3,1971,483,TA,Y,483,987,1,2,1,3,5,0,2008,89500
8773,7,5,2004,1414,Ex,Y,1414,1414,2,3,1,4,6,105,2010,185500
9453,7,7,1993,996,Ex,Y,1014,1744,2,3,1,4,7,70,2010,194500
12030,8,5,2007,1694,Ex,Y,1694,1694,2,3,1,4,7,228,2007,318000
8741,6,4,1945,735,TA,Y,798,1487,1,3,1,3,7,140,2010,113000
9000,8,5,2008,1566,Ex,Y,1566,1566,2,3,1,4,7,168,2010,262500
3880,5,9,1945,686,Gd,Y,866,866,1,2,1,4,4,42,2007,110500
5000,5,4,1900,540,Gd,N,889,1440,1,3,1,3,6,0,2006,79000
10762,6,6,1980,626,TA,Y,626,1217,1,3,1,3,6,28,2009,120000
8880,7,5,1994,948,Ex,Y,1222,2110,2,3,1,4,8,130,2010,205000
10400,7,5,1988,1845,Gd,Y,1872,1872,2,3,1,3,6,39,2006,241500
9142,6,8,1910,1020,Gd,N,908,1928,2,4,2,2,9,60,2006,137000
11310,6,5,1954,1367,Ex,Y,1375,1375,1,2,1,3,5,30,2006,140000
11317,7,5,2003,840,Ex,Y,840,1668,2,3,1,4,8,68,2007,180000
159000,6,7,1958,1444,Gd,Y,1444,2144,2,4,1,4,7,98,2007,277000
5350,3,2,1940,728,Ex,Y,1306,1306,1,3,1,2,6,0,2010,76500
4750,8,5,2006,1573,Ex,Y,1625,1625,2,2,1,4,5,0,2007,235000
8366,6,5,2004,798,Ex,Y,798,1640,2,3,1,4,6,45,2008,173000
9350,6,7,1964,1302,Ex,Y,1302,1302,2,3,1,4,7,0,2007,158000
8400,5,6,1957,1314,TA,Y,1314,1314,1,3,1,3,5,0,2010,145000
8738,7,5,1999,975,Ex,Y,1005,2291,2,4,1,4,8,0,2006,230000
8791,6,5,2003,864,Ex,Y,864,1728,2,3,1,4,7,56,2008,207500
8814,7,5,2006,1604,Ex,Y,1604,1604,2,3,1,4,8,110,2009,220000
12435,7,5,2001,963,Ex,Y,963,1792,2,3,1,4,7,96,2008,231500
12702,5,5,1956,0,Gd,Y,882,882,1,2,1,3,4,45,2008,97000
19296,6,5,1962,1362,TA,Y,1382,1382,1,3,1,3,6,0,2009,176000
9588,8,5,2007,1482,Ex,Y,1482,2574,2,3,1,5,10,148,2007,276000
8471,6,7,1977,506,TA,Y,1212,1212,1,3,1,3,6,12,2006,151000
5500,5,7,1929,926,TA,Y,926,1316,1,3,1,3,6,0,2010,130000
5232,5,5,1925,680,Gd,N,764,764,1,2,1,3,4,0,2008,73000
12090,6,6,1981,1422,TA,Y,1422,1422,2,3,1,4,7,0,2008,175500
11207,6,5,1997,802,Gd,Y,802,1511,2,3,1,3,8,75,2006,185000
8400,5,8,1939,720,Ex,Y,1052,2192,2,4,1,4,8,24,2008,179500
6900,5,6,1940,740,Ex,Y,778,778,1,2,1,3,4,25,2008,120500
7917,6,7,1976,1143,TA,Y,1113,1113,1,3,1,3,6,30,2007,148000
10728,8,5,2006,1095,Gd,Y,1095,1939,2,3,1,4,8,51,2006,266000
39104,7,7,1954,1385,Ex,Y,1363,1363,1,2,1,3,5,0,2008,241500
11764,8,7,1999,1152,Ex,Y,1164,2270,2,4,1,4,9,57,2010,290000
9600,6,6,1958,1240,Gd,Y,1632,1632,2,3,1,3,6,0,2009,139000
8314,5,7,1982,816,TA,Y,816,816,1,2,1,3,5,0,2007,124500
7264,7,7,1925,952,Gd,N,952,1548,2,3,1,5,5,0,2009,205000
9196,7,5,2003,1560,Ex,Y,1560,1560,2,3,1,4,7,150,2010,201000
19138,4,5,1951,864,Ex,Y,864,864,1,2,1,3,4,0,2010,141000
14450,9,5,2006,2121,Ex,Y,2121,2121,2,3,1,5,8,98,2007,415298
10005,7,5,1977,1160,Ex,Y,1156,2022,2,4,1,3,8,117,2008,192000
11287,7,6,1989,807,Gd,Y,1175,1982,2,3,1,4,7,84,2007,228500
7200,6,5,2006,1262,Gd,Y,1262,1262,2,2,1,4,5,120,2006,185000
5063,7,5,2007,1314,Ex,Y,1314,1314,2,2,1,4,6,62,2009,207500
9612,8,5,2008,1468,Ex,Y,1468,1468,2,3,1,4,6,150,2009,244600
8012,6,5,1992,1575,Gd,Y,1575,1575,2,2,1,4,5,0,2007,179200
4251,7,5,2006,625,Ex,Y,625,1250,2,2,1,4,5,54,2007,164700
9786,6,7,1962,912,TA,Y,1085,1734,1,3,1,4,7,0,2006,159000
8125,4,4,1971,858,TA,Y,858,858,1,3,1,3,5,0,2006,88000
9819,5,5,1967,882,TA,Y,900,900,1,3,1,3,5,0,2010,122000
8730,6,7,1915,698,Ex,Y,698,1396,1,3,1,3,7,0,2007,153575
15611,8,5,2006,1079,Ex,Y,1079,1919,2,3,1,4,8,51,2006,233230
5687,5,6,1912,780,Ex,N,936,1716,2,6,1,2,9,184,2008,135900
11409,5,4,1949,768,Gd,Y,1148,1716,1,3,1,3,8,0,2009,131000
16659,7,7,1977,795,Fa,Y,1468,2263,2,3,1,4,9,250,2006,235000
9600,6,5,1953,1416,TA,Y,1644,1644,1,3,1,3,7,0,2009,167000
7937,6,6,1984,1003,TA,Y,1003,1003,1,3,1,3,6,0,2006,142500
13710,5,5,1950,910,TA,Y,910,1558,1,4,1,3,6,0,2007,152000
7399,7,5,1997,975,Ex,Y,975,1950,2,3,1,4,7,10,2007,239000
11700,6,6,1968,702,Gd,Y,1041,1743,1,3,1,3,7,0,2007,175000
14000,6,8,1950,1092,Ex,Y,1152,1152,1,3,1,4,6,36,2009,158500
15750,5,5,1953,1165,TA,Y,1336,1336,1,2,1,3,5,0,2006,157000
16226,8,5,1998,1028,Ex,Y,1210,2452,2,4,1,4,9,50,2007,267000
13704,7,5,2001,1541,Ex,Y,1541,1541,2,3,1,4,6,81,2006,205000
9800,5,7,1972,894,TA,Y,894,894,1,3,1,3,5,0,2006,149900
18386,7,9,1880,1470,Ex,Y,1675,3493,3,3,1,4,10,0,2008,295000
10386,8,5,2004,2000,Ex,Y,2000,2000,2,3,1,4,8,0,2007,305900
13474,7,5,1990,700,Gd,Y,1122,2243,2,4,1,4,8,44,2007,225000
7920,6,7,1920,319,TA,Y,1035,1406,1,3,1,2,6,144,2008,89500
12342,4,5,1940,861,Ex,Y,861,861,1,1,1,3,4,0,2009,82500
12378,9,5,2003,1896,Ex,Y,1944,1944,2,3,1,5,8,175,2006,360000
7685,6,5,1993,697,Gd,Y,697,1501,2,3,1,4,6,63,2006,165600
8000,6,6,1948,972,Ex,Y,972,972,1,2,1,3,5,0,2009,132000
7800,5,7,1939,793,TA,Y,793,1118,1,3,1,3,5,0,2006,119900
215245,7,5,1965,2136,TA,Y,2036,2036,2,3,1,3,8,0,2009,375000
9600,7,7,1925,728,Ex,Y,832,1641,1,3,1,5,6,0,2006,178000
7795,7,5,2004,716,Ex,Y,716,1432,2,3,1,4,6,51,2009,188500
13005,7,7,1980,845,TA,Y,1153,2353,2,4,1,5,10,195,2009,260000
9000,8,5,2006,1088,Ex,Y,1088,1959,2,3,1,4,8,46,2007,270000
9900,7,5,1993,1347,Ex,Y,1372,2646,2,4,1,4,9,60,2009,260000
14115,7,5,1980,1372,TA,Y,1472,1472,2,3,1,3,6,48,2009,187500
16259,9,5,2006,1249,Ex,Y,1249,2596,3,4,1,4,9,154,2006,342643
12099,8,5,2004,1136,Ex,Y,1136,2468,2,4,1,4,10,154,2007,354000
