Id,LotArea,Street,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC
56,10175,Pave,6,5,1964,1964,Gable,1425,GasA,Gd,Y,1425,0,1425,0,0,2,0,3,1,TA,7,1,Gd,Y,0,0,0,407,0,0,
57,2645,Pave,8,5,1999,2000,Gable,970,GasA,Ex,Y,983,756,1739,1,0,2,1,3,1,Gd,7,0,,Y,115,0,0,0,0,0,
58,11645,Pave,7,5,2004,2004,Gable,860,GasA,Ex,Y,860,860,1720,0,0,2,1,3,1,Gd,7,0,,Y,0,70,0,0,0,0,
59,13682,Pave,10,5,2006,2006,Hip,1410,GasA,Ex,Y,1426,1519,2945,0,0,3,1,3,1,Gd,10,1,Gd,Y,192,0,37,0,0,0,
60,7200,Pave,5,7,1972,1972,Gable,780,GasA,Ex,Y,780,0,780,0,0,1,0,2,1,TA,4,0,,Y,196,0,0,0,0,0,
61,13072,Pave,6,5,2004,2004,Gable,1158,GasA,Ex,Y,1158,0,1158,1,0,1,1,3,1,Gd,5,0,,Y,0,50,0,0,0,0,
62,7200,Pave,5,7,1920,1996,Gable,530,GasA,TA,N,581,530,1111,0,0,1,0,3,1,Fa,6,0,,N,0,0,144,0,0,0,
63,6442,Pave,8,5,2006,2006,Gable,1370,GasA,Ex,Y,1370,0,1370,0,0,2,0,2,1,Gd,6,1,Gd,Y,120,49,0,0,0,0,
64,10300,Pave,7,6,1921,1950,Gable,576,GasA,Gd,Y,902,808,1710,0,0,2,0,3,1,TA,9,0,,Y,12,11,64,0,0,0,
65,9375,Pave,7,5,1997,1998,Gable,1057,GasA,Ex,Y,1057,977,2034,1,0,2,1,3,1,Gd,8,0,,Y,576,36,0,0,0,0,
66,9591,Pave,8,5,2004,2005,Gable,1143,GasA,Ex,Y,1143,1330,2473,0,0,2,1,4,1,Gd,9,1,Gd,Y,192,151,0,0,0,0,
67,19900,Pave,7,5,1970,1989,Gable,1947,GasA,TA,Y,2207,0,2207,1,0,2,0,3,1,TA,7,1,Gd,Y,301,0,0,0,0,0,
68,10665,Pave,7,5,2003,2003,Gable,1453,GasA,Ex,Y,1479,0,1479,1,0,2,0,3,1,Gd,7,0,,Y,144,29,0,0,0,0,
69,4608,Pave,4,6,1945,1950,Gable,747,GasA,TA,Y,747,0,747,0,0,1,0,2,1,TA,4,0,,Y,0,0,0,0,0,0,
70,15593,Pave,7,4,1953,1953,Gable,1304,GasW,TA,Y,1304,983,2287,0,0,2,0,3,1,TA,7,1,TA,Y,0,21,114,0,0,0,
71,13651,Pave,7,6,1973,1973,Gable,2223,GasA,Ex,Y,2223,0,2223,1,0,2,0,3,1,TA,8,2,Gd,Y,300,0,0,0,0,0,
72,7599,Pave,4,6,1982,2006,Gable,845,GasA,TA,Y,845,0,845,1,0,1,0,2,1,TA,4,0,,Y,0,0,0,0,0,0,
73,10141,Pave,7,5,1998,1998,Gable,832,GasA,Gd,Y,885,833,1718,0,0,2,1,3,1,TA,7,1,TA,Y,0,94,0,0,291,0,
74,10200,Pave,5,7,1954,2003,Gable,1086,GasA,Gd,Y,1086,0,1086,1,0,1,0,3,1,TA,6,0,,Y,0,0,0,0,0,0,
75,5790,Pave,3,6,1915,1950,Gambrel,840,GasA,Gd,N,840,765,1605,0,0,2,0,3,2,TA,8,0,,Y,0,0,202,0,0,0,
76,1596,Pave,4,5,1973,1973,Gable,462,GasA,TA,Y,526,462,988,1,0,1,0,2,1,TA,5,0,,Y,120,101,0,0,0,0,
77,8475,Pave,4,7,1956,1956,Gable,952,GasA,Ex,Y,952,0,952,0,0,1,0,2,1,TA,4,0,,Y,0,0,0,0,0,0,
78,8635,Pave,5,5,1948,2001,Gable,672,GasA,TA,Y,1072,213,1285,1,0,1,0,2,1,TA,6,0,,Y,0,0,0,0,0,0,
79,10778,Pave,4,5,1968,1968,Hip,1768,GasA,TA,N,1768,0,1768,0,0,2,0,4,2,TA,8,0,,Y,0,0,0,0,0,0,
80,10440,Pave,5,6,1910,1981,Gable,440,GasA,Gd,Y,682,548,1230,0,0,1,1,2,1,TA,5,0,,Y,74,0,128,0,0,0,
81,13000,Pave,6,6,1968,1968,Gable,896,GasA,TA,Y,1182,960,2142,0,0,2,1,4,1,Gd,8,1,Gd,Y,0,72,0,0,252,0,
82,4500,Pave,6,5,1998,1998,Hip,1237,GasA,Ex,Y,1337,0,1337,1,0,2,0,2,1,TA,5,0,,Y,0,199,0,0,0,0,
83,10206,Pave,8,5,2007,2007,Gable,1563,GasA,Ex,Y,1563,0,1563,0,0,2,0,3,1,Gd,6,1,Gd,Y,144,99,0,0,0,0,
84,8892,Pave,5,5,1960,1960,Gable,1065,GasA,Gd,Y,1065,0,1065,0,0,1,1,3,1,TA,6,0,,Y,74,0,0,0,0,0,
85,8530,Pave,7,5,1995,1996,Gable,384,GasA,Gd,Y,804,670,1474,0,0,2,1,3,1,TA,7,1,TA,Y,120,72,0,0,0,0,
86,16059,Pave,8,5,1991,1992,Hip,1288,GasA,Ex,Y,1301,1116,2417,0,0,2,1,4,1,Gd,9,1,TA,Y,127,82,0,0,0,0,
87,11911,Pave,6,5,2005,2005,Gable,684,GasA,Ex,Y,684,876,1560,0,0,2,1,3,1,Gd,6,1,Gd,Y,100,38,0,0,0,0,
88,3951,Pave,6,5,2009,2009,Gable,612,GasA,Ex,Y,612,612,1224,0,0,2,1,2,1,Gd,4,0,,Y,0,234,0,0,0,0,
89,8470,Pave,3,2,1915,1982,Hip,1013,GasA,TA,N,1013,0,1526,0,0,1,0,2,1,Fa,6,0,,N,0,0,156,0,0,0,
90,8070,Pave,4,5,1994,1995,Gable,990,GasA,Ex,Y,990,0,990,1,0,1,0,3,1,TA,5,0,,Y,0,0,0,0,0,0,
91,7200,Pave,4,5,1950,1950,Gable,0,GasA,TA,Y,1040,0,1040,0,0,1,0,2,1,TA,4,0,,Y,0,29,0,0,0,0,
92,8500,Pave,5,3,1961,1961,Hip,1235,GasA,TA,Y,1235,0,1235,0,0,1,0,2,1,TA,6,0,,Y,0,0,0,0,0,0,
93,13360,Pave,5,7,1921,2006,Gable,876,GasA,Ex,Y,964,0,964,1,0,1,0,2,1,TA,5,0,,Y,0,0,44,0,0,0,
94,7200,Pave,6,6,1910,1998,Hip,1214,GasW,Ex,N,1260,1031,2291,0,1,2,0,4,2,TA,9,1,Gd,Y,0,0,0,0,99,0,
95,9337,Pave,6,5,1997,1997,Gable,824,GasA,Ex,Y,905,881,1786,1,0,2,1,3,1,Gd,7,0,,Y,0,162,0,0,0,0,
96,9765,Pave,6,8,1993,1993,Gable,680,GasA,Gd,Y,680,790,1470,0,0,2,1,3,1,TA,6,1,TA,Y,232,63,0,0,0,0,
97,10264,Pave,7,5,1999,1999,Gable,1588,GasA,Ex,Y,1588,0,1588,0,0,2,0,3,1,Gd,6,0,,Y,158,29,0,0,0,0,
98,10921,Pave,4,5,1965,1965,Hip,960,GasA,TA,Y,960,0,960,1,0,1,0,3,1,TA,6,0,,P,120,0,0,0,0,0,
99,10625,Pave,5,5,1920,1950,Gable,458,GasA,Fa,N,835,0,835,0,0,1,0,2,1,TA,5,0,,Y,0,0,77,0,0,0,
100,9320,Pave,4,5,1959,1959,Gable,950,GasA,Fa,Y,1225,0,1225,1,0,1,1,3,1,TA,6,0,,Y,352,0,0,0,0,0,
101,10603,Pave,6,7,1977,2001,Gable,1610,GasA,Gd,Y,1610,0,1610,1,0,2,0,3,1,Gd,6,2,TA,Y,168,68,0,0,0,0,
102,9206,Pave,6,5,1985,1985,Gable,741,GasA,TA,Y,977,755,1732,0,0,2,1,3,1,Gd,7,1,TA,Y,192,46,0,0,0,0,
103,7018,Pave,5,5,1979,1979,Gable,0,GasA,TA,Y,1535,0,1535,0,0,2,0,4,2,TA,8,0,,Y,0,0,0,0,0,0,
104,10402,Pave,7,5,2009,2009,Gable,1226,GasA,Ex,Y,1226,0,1226,0,0,2,0,3,1,Gd,6,0,,Y,0,36,0,0,0,0,
105,7758,Pave,7,4,1931,1950,Gable,1040,GasA,Ex,Y,1226,592,1818,0,0,1,1,4,1,TA,7,2,TA,Y,0,0,0,0,184,0,
106,9375,Pave,8,5,2003,2004,Hip,1053,GasA,Ex,Y,1053,939,1992,0,0,2,1,3,1,Gd,9,1,Gd,Y,140,45,0,0,0,0,
107,10800,Pave,4,7,1885,1995,Mansard,641,GasA,Gd,Y,1047,0,1047,0,0,1,0,2,1,TA,6,0,,N,0,0,0,0,0,0,
108,6000,Pave,5,5,1948,1950,Gable,789,GasA,Ex,Y,789,0,789,0,0,1,0,2,1,TA,5,0,,Y,0,0,0,0,0,0,
109,8500,Pave,5,7,1919,2005,Gable,793,GasW,TA,N,997,520,1517,0,0,2,0,3,1,Fa,7,0,,N,0,0,144,0,0,0,
110,11751,Pave,6,6,1977,1977,Hip,1844,GasA,Ex,Y,1844,0,1844,0,0,2,0,3,1,TA,7,1,TA,Y,0,122,0,0,0,0,
111,9525,Pave,6,4,1954,1972,Gable,994,GasA,Gd,Y,1216,639,1855,0,0,2,0,4,1,TA,7,0,,Y,182,0,0,0,0,0,
112,7750,Pave,7,5,2000,2000,Gable,384,GasA,Ex,Y,774,656,1430,0,0,2,1,3,1,TA,7,1,TA,Y,180,0,0,0,0,0,
113,9965,Pave,7,5,2007,2007,Gable,1264,GasA,Ex,Y,1282,1414,2696,1,0,2,1,4,1,Ex,10,1,Gd,Y,120,184,0,0,168,0,
114,21000,Pave,6,5,1953,1953,Hip,1809,GasA,TA,Y,2259,0,2259,1,0,2,0,3,1,Gd,7,2,Gd,Y,166,120,192,0,0,0,
115,7259,Pave,6,8,1945,2002,Gambrel,1028,GasA,Ex,Y,1436,884,2320,1,0,2,1,3,1,Gd,9,1,TA,Y,224,0,0,0,0,0,
116,3230,Pave,6,5,1999,1999,Gable,729,GasA,Gd,Y,729,729,1458,0,0,2,1,2,1,TA,5,1,Fa,Y,0,32,0,0,0,0,
117,11616,Pave,5,5,1962,1962,Gable,1092,GasA,TA,Y,1092,0,1092,0,1,1,0,3,1,TA,6,1,Po,Y,0,20,144,0,0,0,
118,8536,Pave,5,5,2006,2007,Gable,1125,GasA,Gd,Y,1125,0,1125,0,0,1,1,2,1,TA,5,0,,Y,80,64,0,0,0,0,
119,12376,Pave,7,5,1990,1990,Hip,1673,GasA,Gd,Y,1699,1523,3222,1,0,3,0,5,1,Gd,11,2,TA,Y,367,0,0,0,0,0,
120,8461,Pave,6,5,2005,2006,Gable,728,GasA,Ex,Y,728,728,1456,0,0,2,1,3,1,Gd,8,1,Gd,Y,0,24,0,0,0,0,
121,21453,Pave,6,5,1969,1969,Flat,938,GasA,Ex,Y,988,0,988,1,0,1,0,1,1,TA,4,2,TA,Y,0,130,0,130,0,0,
122,6060,Pave,4,5,1939,1950,Gable,732,GasA,Gd,Y,772,351,1123,0,0,1,0,3,1,TA,4,0,,P,0,0,140,0,0,0,
123,9464,Pave,6,7,1958,1958,Hip,1080,GasA,Gd,Y,1080,0,1080,0,0,1,0,3,1,TA,5,0,,Y,0,0,0,0,130,0,
124,7892,Pave,6,5,1993,1993,Gable,1199,GasA,Ex,Y,1199,0,1199,0,0,2,0,2,1,Gd,5,0,,Y,0,63,0,0,0,0,
125,17043,Pave,6,5,1979,1998,Gable,1362,GasA,TA,Y,1586,0,1586,0,0,2,0,3,1,TA,7,1,TA,Y,192,0,0,0,0,0,
126,6780,Pave,6,8,1935,1982,Gable,520,GasA,Gd,N,520,0,754,1,0,1,0,2,1,TA,5,0,,N,53,0,0,0,0,0,
127,4928,Pave,6,5,1976,1976,Gable,1078,GasA,TA,Y,958,0,958,0,0,2,0,2,1,TA,5,1,TA,Y,0,205,0,0,0,0,
128,4388,Pave,5,7,1930,1950,Gable,672,GasA,Ex,Y,840,0,840,0,0,1,0,3,1,TA,5,1,TA,N,0,0,0,0,0,0,
129,7590,Pave,6,5,1966,1966,Gable,660,GasA,TA,Y,660,688,1348,0,0,1,1,3,1,TA,6,1,Fa,Y,188,108,0,0,0,0,
130,8973,Pave,5,7,1958,1991,Gable,1008,GasA,TA,Y,1053,0,1053,0,1,1,1,3,1,Ex,6,0,,Y,0,80,0,180,0,0,
131,14200,Pave,7,6,1966,1966,Gable,924,GasA,Ex,Y,1216,941,2157,0,0,2,1,4,1,Gd,8,2,Gd,Y,105,66,0,0,0,0,
132,12224,Pave,6,5,2000,2000,Gable,992,GasA,Ex,Y,1022,1032,2054,1,0,2,1,3,1,Gd,7,1,TA,Y,24,48,0,0,0,0,
133,7388,Pave,5,6,1959,2002,Gable,1063,GasA,Gd,Y,1327,0,1327,1,0,1,0,3,1,Gd,7,0,,Y,0,0,0,0,0,0,
134,6853,Pave,8,5,2001,2002,Gable,1267,GasA,Ex,Y,1296,0,1296,1,0,2,0,2,1,Gd,6,0,,Y,192,25,0,0,0,0,
135,10335,Pave,5,6,1968,1993,Gable,1461,GasA,Gd,Y,1721,0,1721,0,0,2,1,3,1,TA,7,1,TA,Y,0,96,180,0,0,0,
136,10400,Pave,7,6,1970,1970,Hip,1304,GasA,Gd,Y,1682,0,1682,0,0,2,0,3,1,TA,7,1,Gd,Y,98,0,0,0,0,0,
137,10355,Pave,5,5,1967,1967,Gable,1214,GasA,TA,Y,1214,0,1214,0,0,2,0,3,1,TA,5,1,Fa,Y,0,111,0,0,0,0,
138,11070,Pave,7,5,1988,1989,Gable,1907,GasA,Gd,Y,1959,0,1959,0,0,3,0,5,2,TA,9,0,,Y,0,0,0,0,0,0,
139,9066,Pave,8,5,1999,2000,Gable,1004,GasA,Ex,Y,1004,848,1852,0,0,2,1,3,1,Gd,7,2,TA,Y,224,106,0,0,0,0,
140,15426,Pave,6,5,1997,1997,Gable,928,GasA,Ex,Y,928,836,1764,1,0,2,1,3,1,Gd,7,0,,Y,276,99,0,0,0,0,
141,10500,Pave,4,5,1971,1971,Gable,864,GasA,TA,Y,864,0,864,0,0,1,0,3,1,TA,5,1,Po,Y,0,0,0,0,0,0,
142,11645,Pave,7,5,2005,2005,Gable,1734,GasA,Ex,Y,1734,0,1734,1,0,2,0,3,1,Gd,7,0,,Y,160,24,0,0,0,0,
143,8520,Pave,5,4,1952,1952,Gable,910,GasA,Fa,Y,910,475,1385,0,0,2,0,4,1,TA,6,0,,Y,0,0,0,0,0,0,
144,10335,Pave,7,5,1999,1999,Gable,1490,GasA,Ex,Y,1501,0,1501,1,0,2,0,3,1,Gd,6,0,,Y,144,29,0,0,0,0,
145,9100,Pave,5,5,1963,1963,Gable,1728,GasA,TA,Y,1728,0,1728,1,0,2,0,6,2,TA,10,0,,Y,0,0,0,0,0,0,
146,2522,Pave,6,5,2004,2006,Gable,970,GasA,Ex,Y,970,739,1709,0,0,2,0,3,1,Gd,7,0,,Y,0,40,0,0,0,0,
147,6120,Pave,5,7,1931,1993,Gable,715,GasA,TA,Y,875,0,875,1,0,1,0,2,1,TA,5,0,,Y,48,0,0,0,0,0,
148,9505,Pave,7,5,2001,2001,Gable,884,GasA,Ex,Y,884,1151,2035,0,0,2,1,3,1,Gd,8,1,Gd,Y,144,48,0,0,0,0,
149,7500,Pave,7,5,2004,2005,Gable,1080,GasA,Ex,Y,1080,0,1080,1,0,1,0,3,1,Gd,6,0,,Y,0,0,0,0,0,0,
150,6240,Pave,5,4,1936,1950,Gable,896,GasA,Gd,Y,896,448,1344,0,0,1,0,3,1,TA,7,0,,Y,200,114,0,0,0,0,
151,10356,Pave,5,6,1975,1975,Gable,969,GasA,TA,Y,969,0,969,0,0,1,1,3,1,TA,5,0,,Y,0,0,0,0,0,0,
152,13891,Pave,8,5,2007,2008,Hip,1710,GasA,Ex,Y,1710,0,1710,1,0,2,0,2,1,Gd,6,1,Gd,Y,0,102,0,0,0,0,
153,14803,Pave,6,5,1971,1971,Gable,825,GasA,Gd,Y,1097,896,1993,0,0,2,1,4,1,TA,8,1,Gd,Y,0,66,0,0,0,0,
154,13500,Pave,6,7,1960,1975,Flat,1602,GasA,Gd,Y,1252,0,1252,1,0,1,0,1,1,TA,4,1,Gd,Y,409,0,0,0,0,0,
155,11340,Pave,6,5,1923,1950,Gable,1200,GasA,TA,Y,1200,0,1200,0,0,1,0,4,1,TA,7,0,,Y,0,0,228,0,0,0,
156,9600,Pave,6,5,1924,1950,Gable,572,Grav,Fa,N,572,524,1096,0,0,1,0,2,1,TA,5,0,,N,0,8,128,0,0,0,
157,7200,Pave,5,7,1950,1950,Hip,0,GasA,TA,Y,1040,0,1040,0,0,1,0,2,1,TA,5,0,,Y,0,0,0,0,0,0,
158,12003,Pave,8,5,2009,2010,Gable,774,GasA,Ex,Y,774,1194,1968,0,0,2,1,4,1,Ex,8,1,Gd,Y,0,75,0,0,0,0,
159,12552,Pave,7,5,2004,2005,Gable,991,GasA,Ex,Y,991,956,1947,0,0,2,1,3,1,Gd,8,1,Gd,Y,0,136,0,0,0,0,
160,19378,Pave,7,5,2005,2006,Gable,1392,GasA,Ex,Y,1392,1070,2462,1,0,2,1,4,1,Gd,9,1,Gd,Y,239,132,0,168,0,0,
161,11120,Pave,6,6,1984,1984,Gable,1232,GasA,TA,Y,1232,0,1232,0,0,2,0,3,1,TA,6,0,,Y,0,0,0,0,0,0,
162,13688,Pave,9,5,2003,2004,Gable,1572,GasA,Ex,Y,1572,1096,2668,1,0,2,1,3,1,Ex,10,2,Gd,Y,400,0,0,0,0,0,
163,12182,Pave,7,5,2005,2005,Gable,1541,GasA,Ex,Y,1541,0,1541,0,0,2,0,3,1,Gd,7,1,Gd,Y,0,70,0,0,0,0,
164,5500,Pave,4,6,1956,1956,Gable,882,GasA,Ex,Y,882,0,882,0,0,1,0,1,1,TA,4,0,,Y,0,0,0,0,0,0,
165,5400,Pave,6,7,1926,2004,Gable,1149,GasA,Gd,Y,1149,467,1616,0,0,2,0,3,1,Gd,5,0,,Y,0,0,183,0,0,0,
166,10106,Pave,5,7,1940,1999,Gable,644,GasA,Gd,Y,808,547,1355,1,0,2,0,4,2,TA,6,0,,Y,140,0,0,0,0,0,
