const,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,OpenPorchSF,YrSold,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_Y
1.0,13418,8,5,2004,1117,1132,2452,3,4,1,4,9,32,2006,0,0,0,0,1
1.0,10859,5,5,1994,1097,1097,1097,1,3,1,3,6,64,2009,0,0,0,0,1
1.0,8532,5,6,1954,1297,1297,1297,1,3,1,3,5,0,2009,0,1,0,0,1
1.0,7922,5,7,1953,1057,1057,1057,1,3,1,4,5,52,2010,0,0,0,1,1
1.0,6040,4,5,1955,0,1152,1152,2,2,2,2,6,0,2008,0,0,0,1,0
1.0,8658,6,5,1965,1088,1324,1324,2,3,1,3,6,138,2006,0,0,0,0,1
1.0,16905,5,6,1959,1350,1328,1328,1,2,1,3,5,104,2007,0,1,0,0,1
1.0,9180,5,7,1983,840,884,884,1,2,1,4,5,0,2007,0,1,0,0,1
1.0,9200,5,6,1975,938,938,938,1,3,1,3,5,0,2008,0,0,0,1,1
1.0,7945,5,6,1959,1150,1150,1150,1,3,1,3,6,0,2006,0,0,0,0,1
1.0,7658,9,5,2005,1752,1752,1752,2,2,1,5,6,82,2010,0,0,0,0,1
1.0,12822,7,5,2003,1434,1518,2149,1,1,1,4,6,43,2009,0,0,0,0,1
1.0,11096,8,5,2006,1656,1656,1656,2,3,1,4,7,146,2007,0,0,0,0,1
1.0,4456,4,5,1920,736,736,1452,2,2,3,3,8,0,2009,0,1,0,0,1
1.0,7742,5,7,1966,955,955,955,1,3,1,3,6,0,2007,0,0,0,0,1
1.0,13869,6,6,1997,794,794,1470,2,3,1,3,6,75,2007,0,1,0,0,1
1.0,6240,6,6,1934,816,816,1176,1,3,1,3,6,0,2006,0,0,0,1,1
1.0,8472,5,5,1963,816,816,816,1,2,1,3,5,0,2010,0,0,0,1,0
1.0,50271,9,5,1981,1842,1842,1842,0,0,1,4,5,72,2006,0,1,0,0,1
1.0,7134,5,5,1955,384,1360,1360,1,3,1,3,6,50,2007,0,0,0,1,1
1.0,10175,6,5,1964,1425,1425,1425,2,3,1,3,7,0,2008,0,1,0,0,1
1.0,2645,8,5,1999,970,983,1739,2,3,1,4,7,0,2009,0,0,0,0,1
1.0,11645,7,5,2004,860,860,1720,2,3,1,4,7,70,2006,0,0,0,0,1
1.0,13682,10,5,2006,1410,1426,2945,3,3,1,4,10,0,2006,0,0,0,0,1
1.0,7200,5,7,1972,780,780,780,1,2,1,3,4,0,2008,0,0,0,0,1
1.0,13072,6,5,2004,1158,1158,1158,1,3,1,4,5,50,2006,0,0,0,0,1
1.0,7200,5,7,1920,530,581,1111,1,3,1,2,6,0,2007,0,0,0,1,0
1.0,6442,8,5,2006,1370,1370,1370,2,2,1,4,6,49,2007,0,0,0,0,1
1.0,10300,7,6,1921,576,902,1710,2,3,1,3,9,11,2010,0,1,0,0,1
1.0,9375,7,5,1997,1057,1057,2034,2,3,1,4,8,36,2009,0,0,0,0,1
1.0,9591,8,5,2004,1143,1143,2473,2,4,1,4,9,151,2007,0,0,0,0,1
1.0,19900,7,5,1970,1947,2207,2207,2,3,1,3,7,0,2010,0,0,0,1,1
1.0,10665,7,5,2003,1453,1479,1479,2,3,1,4,7,29,2007,0,0,0,0,1
1.0,4608,4,6,1945,747,747,747,1,2,1,3,4,0,2010,0,0,0,1,1
1.0,15593,7,4,1953,1304,1304,2287,2,3,1,3,7,21,2006,0,0,0,1,1
1.0,13651,7,6,1973,2223,2223,2223,2,3,1,3,8,0,2007,0,0,0,0,1
1.0,7599,4,6,1982,845,845,845,1,2,1,3,4,0,2007,0,0,0,1,1
1.0,10141,7,5,1998,832,885,1718,2,3,1,3,7,94,2009,0,1,0,0,1
1.0,10200,5,7,1954,1086,1086,1086,1,3,1,3,6,0,2010,0,1,0,0,1
1.0,5790,3,6,1915,840,840,1605,2,3,2,3,8,0,2010,0,1,0,0,0
1.0,1596,4,5,1973,462,526,988,1,2,1,3,5,101,2009,0,0,0,1,1
1.0,8475,4,7,1956,952,952,952,1,2,1,3,4,0,2008,0,0,0,0,1
1.0,8635,5,5,1948,672,1072,1285,1,2,1,3,6,0,2008,0,0,0,1,1
1.0,10778,4,5,1968,1768,1768,1768,2,4,2,3,8,0,2010,0,0,0,1,0
1.0,10440,5,6,1910,440,682,1230,1,2,1,3,5,0,2009,0,1,0,0,1
1.0,13000,6,6,1968,896,1182,2142,2,4,1,4,8,72,2009,0,0,0,1,1
1.0,4500,6,5,1998,1237,1337,1337,2,2,1,3,5,199,2006,0,0,0,0,1
1.0,10206,8,5,2007,1563,1563,1563,2,3,1,4,6,99,2008,0,0,0,0,1
1.0,8892,5,5,1960,1065,1065,1065,1,3,1,3,6,0,2007,0,1,0,0,1
1.0,8530,7,5,1995,384,804,1474,2,3,1,3,7,72,2009,0,1,0,0,1
1.0,16059,8,5,1991,1288,1301,2417,2,4,1,4,9,82,2006,0,0,0,0,1
1.0,11911,6,5,2005,684,684,1560,2,3,1,4,6,38,2009,0,0,0,0,1
1.0,3951,6,5,2009,612,612,1224,2,2,1,4,4,234,2009,0,0,0,0,1
1.0,8470,3,2,1915,1013,1013,1526,1,2,1,2,6,0,2009,0,0,0,1,0
1.0,8070,4,5,1994,990,990,990,1,3,1,3,5,0,2007,0,0,0,0,1
1.0,7200,4,5,1950,0,1040,1040,1,2,1,3,4,29,2006,0,0,0,1,1
1.0,8500,5,3,1961,1235,1235,1235,1,2,1,3,6,0,2006,0,0,0,1,1
1.0,13360,5,7,1921,876,964,964,1,2,1,3,5,0,2009,0,0,0,0,1
1.0,7200,6,6,1910,1214,1260,2291,2,4,2,3,9,0,2007,0,0,0,0,0
1.0,9337,6,5,1997,824,905,1786,2,3,1,4,7,162,2007,0,0,0,0,1
1.0,9765,6,8,1993,680,680,1470,2,3,1,3,6,63,2009,0,1,0,0,1
1.0,10264,7,5,1999,1588,1588,1588,2,3,1,4,6,29,2006,0,0,0,0,1
1.0,10921,4,5,1965,960,960,960,1,3,1,3,6,0,2007,0,0,0,1,1
1.0,10625,5,5,1920,458,835,835,1,2,1,3,5,0,2010,1,0,0,0,0
1.0,9320,4,5,1959,950,1225,1225,1,3,1,3,6,0,2010,1,0,0,0,1
1.0,10603,6,7,1977,1610,1610,1610,2,3,1,4,6,68,2010,0,1,0,0,1
1.0,9206,6,5,1985,741,977,1732,2,3,1,4,7,46,2010,0,0,0,1,1
1.0,7018,5,5,1979,0,1535,1535,2,4,2,3,8,0,2009,0,0,0,1,1
1.0,10402,7,5,2009,1226,1226,1226,2,3,1,4,6,36,2010,0,0,0,0,1
1.0,7758,7,4,1931,1040,1226,1818,1,4,1,3,7,0,2007,0,0,0,0,1
1.0,9375,8,5,2003,1053,1053,1992,2,3,1,4,9,45,2008,0,0,0,0,1
1.0,10800,4,7,1885,641,1047,1047,1,2,1,3,6,0,2007,0,1,0,0,1
1.0,6000,5,5,1948,789,789,789,1,2,1,3,5,0,2008,0,0,0,0,1
1.0,8500,5,7,1919,793,997,1517,2,3,1,2,7,0,2007,0,0,0,1,0
1.0,11751,6,6,1977,1844,1844,1844,2,3,1,3,7,122,2010,0,0,0,0,1
1.0,9525,6,4,1954,994,1216,1855,2,4,1,3,7,0,2006,0,1,0,0,1
1.0,7750,7,5,2000,384,774,1430,2,3,1,3,7,0,2010,0,0,0,0,1
1.0,9965,7,5,2007,1264,1282,2696,2,4,1,5,10,184,2007,0,0,0,0,1
1.0,21000,6,5,1953,1809,2259,2259,2,3,1,4,7,120,2007,0,0,0,1,1
1.0,7259,6,8,1945,1028,1436,2320,2,3,1,4,9,0,2007,0,0,0,0,1
1.0,3230,6,5,1999,729,729,1458,2,2,1,3,5,32,2007,0,1,0,0,1
1.0,11616,5,5,1962,1092,1092,1092,1,3,1,3,6,20,2009,0,0,0,1,1
1.0,8536,5,5,2006,1125,1125,1125,1,2,1,3,5,64,2007,0,1,0,0,1
1.0,12376,7,5,1990,1673,1699,3222,3,5,1,4,11,0,2010,0,1,0,0,1
1.0,8461,6,5,2005,728,728,1456,2,3,1,4,8,24,2006,0,0,0,0,1
1.0,21453,6,5,1969,938,988,988,1,1,1,3,4,130,2006,0,0,0,0,1
1.0,6060,4,5,1939,732,772,1123,1,3,1,3,4,0,2007,0,1,0,0,1
1.0,9464,6,7,1958,1080,1080,1080,1,3,1,3,5,0,2008,0,1,0,0,1
1.0,7892,6,5,1993,1199,1199,1199,2,2,1,4,5,63,2008,0,0,0,0,1
1.0,17043,6,5,1979,1362,1586,1586,2,3,1,3,7,0,2009,0,0,0,1,1
1.0,6780,6,8,1935,520,520,754,1,2,1,3,5,0,2006,0,1,0,0,0
1.0,4928,6,5,1976,1078,958,958,2,2,1,3,5,205,2007,0,0,0,1,1
1.0,4388,5,7,1930,672,840,840,1,3,1,3,5,0,2007,0,0,0,0,1
1.0,7590,6,5,1966,660,660,1348,1,3,1,3,6,108,2006,0,0,0,1,1
1.0,8973,5,7,1958,1008,1053,1053,1,3,1,5,6,80,2006,0,0,0,1,1
1.0,14200,7,6,1966,924,1216,2157,2,4,1,4,8,66,2006,0,0,0,0,1
1.0,12224,6,5,2000,992,1022,2054,2,3,1,4,7,48,2009,0,0,0,0,1
1.0,7388,5,6,1959,1063,1327,1327,1,3,1,4,7,0,2007,0,1,0,0,1
1.0,6853,8,5,2001,1267,1296,1296,2,2,1,4,6,25,2009,0,0,0,0,1
1.0,10335,5,6,1968,1461,1721,1721,2,3,1,3,7,96,2006,0,1,0,0,1
1.0,10400,7,6,1970,1304,1682,1682,2,3,1,3,7,0,2008,0,1,0,0,1
1.0,10355,5,5,1967,1214,1214,1214,2,3,1,3,5,111,2007,0,0,0,1,1
1.0,11070,7,5,1988,1907,1959,1959,3,5,2,3,9,0,2006,0,1,0,0,1
1.0,9066,8,5,1999,1004,1004,1852,2,3,1,4,7,106,2008,0,0,0,0,1
1.0,15426,6,5,1997,928,928,1764,2,3,1,4,7,99,2009,0,0,0,0,1
1.0,10500,4,5,1971,864,864,864,1,3,1,3,5,0,2010,0,0,0,1,1
1.0,11645,7,5,2005,1734,1734,1734,2,3,1,4,7,24,2006,0,0,0,0,1
1.0,8520,5,4,1952,910,910,1385,2,4,1,3,6,0,2010,1,0,0,0,1
1.0,10335,7,5,1999,1490,1501,1501,2,3,1,4,6,29,2009,0,0,0,0,1
1.0,9100,5,5,1963,1728,1728,1728,2,6,2,3,10,0,2006,0,0,0,1,1
1.0,2522,6,5,2004,970,970,1709,2,3,1,4,7,40,2006,0,0,0,0,1
1.0,6120,5,7,1931,715,875,875,1,2,1,3,5,0,2009,0,0,0,1,1
1.0,9505,7,5,2001,884,884,2035,2,3,1,4,8,48,2010,0,0,0,0,1
1.0,7500,7,5,2004,1080,1080,1080,1,3,1,4,6,0,2008,0,0,0,0,1
1.0,6240,5,4,1936,896,896,1344,1,3,1,3,7,114,2006,0,1,0,0,1
1.0,10356,5,6,1975,969,969,969,1,3,1,3,5,0,2007,0,0,0,1,1
1.0,13891,8,5,2007,1710,1710,1710,2,2,1,4,6,102,2008,0,0,0,0,1
1.0,14803,6,5,1971,825,1097,1993,2,4,1,3,8,66,2006,0,1,0,0,1
1.0,13500,6,7,1960,1602,1252,1252,1,1,1,3,4,0,2008,0,1,0,0,1
1.0,11340,6,5,1923,1200,1200,1200,1,4,1,3,7,0,2006,0,0,0,1,1
1.0,9600,6,5,1924,572,572,1096,1,2,1,3,5,8,2008,1,0,0,0,0
1.0,7200,5,7,1950,0,1040,1040,1,2,1,3,5,0,2006,0,0,0,1,1
1.0,12003,8,5,2009,774,774,1968,2,4,1,5,8,75,2010,0,0,0,0,1
1.0,12552,7,5,2004,991,991,1947,2,3,1,4,8,136,2010,0,0,0,0,1
1.0,19378,7,5,2005,1392,1392,2462,2,4,1,4,9,132,2006,0,0,0,0,1
1.0,11120,6,6,1984,1232,1232,1232,2,3,1,3,6,0,2008,0,0,0,1,1
1.0,13688,9,5,2003,1572,1572,2668,2,3,1,5,10,0,2008,0,0,0,0,1
1.0,12182,7,5,2005,1541,1541,1541,2,3,1,4,7,70,2010,0,0,0,0,1
1.0,5500,4,6,1956,882,882,882,1,1,1,3,4,0,2007,0,0,0,0,1
1.0,5400,6,7,1926,1149,1149,1616,2,3,1,4,5,0,2007,0,1,0,0,1
1.0,10106,5,7,1940,644,808,1355,2,4,2,3,6,0,2008,0,1,0,0,1
1.0,10708,5,5,1955,1617,1867,1867,1,2,1,3,7,0,2009,0,0,0,0,1
1.0,10562,8,5,2007,1582,1610,2161,1,3,1,5,8,120,2007,0,0,0,0,1
1.0,8244,7,5,2004,840,840,1720,2,3,1,4,7,48,2007,0,0,0,0,1
1.0,16669,8,6,1981,1686,1707,1707,2,2,1,3,6,64,2006,0,0,0,1,1
1.0,12358,5,6,1941,720,854,1382,1,2,1,3,7,0,2007,0,0,0,1,1
1.0,31770,6,5,1960,1080,1656,1656,1,3,1,3,7,62,2010,1,0,0,0,1
1.0,5306,7,7,1987,1064,1064,1767,2,2,1,4,5,35,2006,0,1,0,0,1
1.0,10197,6,5,1961,1362,1362,1362,1,3,1,3,6,20,2008,0,0,0,1,1
1.0,12416,6,5,1986,1606,1651,1651,2,3,1,3,7,0,2008,0,0,0,1,1
1.0,12615,6,7,1950,1202,2158,2158,2,4,1,4,7,29,2007,0,0,0,1,1
1.0,10029,6,5,1988,1151,1164,2060,2,4,1,3,8,228,2007,0,0,0,1,1
1.0,13650,5,5,1958,1052,1252,1920,2,4,1,4,8,0,2006,0,0,0,0,1
1.0,17423,9,5,2008,2216,2234,2234,2,1,1,5,9,60,2009,0,0,0,0,1
1.0,8520,5,6,1923,968,968,968,1,2,1,3,5,0,2007,0,0,0,1,1
1.0,2117,6,5,2000,756,769,1525,2,3,1,4,5,0,2007,0,0,0,0,1
1.0,7588,7,6,1920,793,901,1802,1,4,1,3,9,0,2006,0,1,0,0,1
1.0,9060,5,6,1957,0,1340,1340,1,3,1,3,7,0,2007,0,0,0,0,1
1.0,11426,7,5,2003,1362,1362,2082,2,3,1,4,6,238,2008,0,0,0,0,1
1.0,7438,5,8,1908,504,936,1252,1,3,1,3,5,0,2006,0,1,0,0,1
1.0,22950,10,9,1892,1107,1518,3608,2,4,1,5,12,260,2006,0,0,0,0,1
1.0,9947,7,5,1990,1188,1217,1217,2,3,1,4,6,27,2009,0,0,0,0,1
1.0,10410,5,7,1916,660,808,1656,2,3,1,3,8,0,2009,0,0,0,0,1
1.0,7018,5,5,1979,1086,1224,1224,0,2,2,3,6,0,2009,0,0,0,1,1
1.0,4923,8,5,2001,1593,1593,1593,1,0,1,5,5,120,2008,0,0,0,0,1
1.0,10570,8,8,1932,853,1549,2727,2,3,1,4,10,74,2007,0,0,0,1,1
1.0,7472,7,9,1972,725,725,1479,1,4,1,4,7,32,2007,0,1,0,0,1
1.0,9017,7,5,1999,1431,1431,1431,2,3,1,4,6,35,2009,0,0,0,0,1
1.0,2522,7,5,2004,970,970,1709,2,3,1,4,7,40,2006,0,0,0,0,1
1.0,7180,5,7,1972,864,864,864,1,3,1,3,5,0,2008,0,0,0,1,1
1.0,2280,6,6,1976,855,855,1456,2,3,1,3,7,0,2009,0,0,0,1,1
1.0,9416,7,5,2007,1726,1726,1726,2,3,1,5,8,138,2007,0,0,0,0,1
1.0,25419,8,4,1918,1360,1360,3112,2,4,1,4,8,16,2006,0,1,0,0,1
1.0,5520,6,6,1912,755,929,2229,1,5,1,3,8,198,2009,0,0,0,0,1
1.0,9591,8,5,2004,1713,1713,1713,2,3,1,5,7,26,2009,0,0,0,0,1
1.0,8546,4,5,2003,1121,1121,1121,2,2,1,3,5,64,2010,0,0,0,0,1
1.0,10125,6,6,1977,1196,1279,1279,2,3,1,3,6,83,2008,0,0,0,1,1
1.0,7000,6,6,1924,617,865,1310,2,2,1,3,6,0,2006,0,1,0,0,1
1.0,4438,6,5,2004,848,848,848,1,1,1,4,3,0,2008,0,0,0,0,1
1.0,3500,5,7,1947,720,720,1284,1,2,1,3,5,35,2009,0,0,0,1,1
1.0,11851,7,5,1990,1424,1442,1442,2,3,1,3,5,34,2009,0,0,0,0,1
1.0,13673,5,5,1962,1140,1696,1696,1,3,1,3,8,30,2007,0,0,0,1,1
1.0,12493,4,5,1960,1100,1100,1100,1,3,1,3,6,0,2008,0,0,0,1,1
1.0,14364,7,5,1988,1157,1180,2062,2,3,1,3,7,55,2007,0,0,0,0,1
1.0,8250,6,7,1964,1092,1092,1092,1,3,1,3,6,0,2008,0,0,0,0,1
1.0,5604,5,6,1925,864,864,864,1,2,1,3,5,0,2008,0,0,0,1,0
1.0,10420,6,5,2009,1212,1212,1212,2,3,1,4,6,22,2010,0,0,0,0,1
1.0,8640,7,5,2009,900,932,1852,2,3,1,4,7,108,2009,0,0,0,0,1
1.0,13568,5,5,1995,990,990,990,1,3,1,3,5,0,2006,0,0,0,0,1
1.0,10900,6,7,1977,689,689,1392,1,3,1,3,6,36,2010,0,0,0,0,1
1.0,10011,5,6,1957,1070,1236,1236,1,2,1,4,6,0,2006,0,0,0,1,1
1.0,8450,7,5,2004,1436,1436,1436,2,3,1,4,8,98,2008,0,0,0,0,1
1.0,9906,4,4,1925,686,810,1328,1,3,1,3,8,172,2006,1,0,0,0,0
1.0,15660,7,9,1939,798,1137,1954,1,3,1,4,8,119,2008,0,0,0,0,1
1.0,3010,7,5,2005,1248,1248,1248,2,2,1,4,5,0,2006,0,0,0,0,1
1.0,8990,7,5,2006,1498,1498,1498,2,2,1,4,5,33,2006,0,0,0,0,1
1.0,8068,6,5,2002,1010,1010,2267,2,4,1,4,8,46,2009,0,0,0,0,1
1.0,11475,6,6,1975,713,811,1552,2,3,1,3,6,208,2006,0,0,0,1,1
1.0,10500,4,6,1971,864,864,864,1,2,1,3,4,0,2009,0,1,0,0,1
1.0,13472,10,5,2003,2392,2392,2392,2,3,1,5,8,105,2009,0,0,0,0,1
1.0,1680,5,5,1971,630,630,1302,2,3,1,3,6,0,2009,0,0,0,1,1
1.0,9950,7,5,1995,1203,1214,2520,2,4,1,4,9,114,2007,0,0,0,0,1
1.0,1869,6,6,1970,483,483,987,1,2,1,3,5,0,2008,0,0,0,1,1
1.0,8521,5,5,1967,912,912,912,1,3,1,3,5,0,2010,0,0,0,1,1
1.0,3182,7,5,2005,1373,1555,1555,2,2,1,4,7,20,2009,0,0,0,0,1
1.0,8760,6,6,1959,1194,1194,1194,1,3,1,3,6,0,2010,0,0,0,1,1
1.0,15138,8,5,1995,1462,1490,2794,2,4,1,5,9,146,2009,0,0,0,0,1
1.0,1680,6,5,1972,483,483,987,1,2,1,3,5,0,2006,0,0,0,1,1
1.0,10650,5,6,1976,894,894,894,1,3,1,3,5,0,2010,0,0,0,1,1
1.0,7851,6,5,2002,860,860,1960,2,4,1,4,8,48,2010,0,0,0,0,1
1.0,1680,6,3,1971,483,483,987,1,2,1,3,5,0,2008,0,0,0,1,1
1.0,8773,7,5,2004,1414,1414,1414,2,3,1,4,6,105,2010,0,0,0,0,1
1.0,9453,7,7,1993,996,1014,1744,2,3,1,4,7,70,2010,0,0,0,0,1
1.0,12030,8,5,2007,1694,1694,1694,2,3,1,4,7,228,2007,0,0,0,0,1
1.0,8741,6,4,1945,735,798,1487,1,3,1,3,7,140,2010,0,0,0,1,1
1.0,9000,8,5,2008,1566,1566,1566,2,3,1,4,7,168,2010,0,0,0,0,1
1.0,3880,5,9,1945,686,866,866,1,2,1,4,4,42,2007,0,1,0,0,1
1.0,5000,5,4,1900,540,889,1440,1,3,1,3,6,0,2006,0,1,0,0,0
1.0,10762,6,6,1980,626,626,1217,1,3,1,3,6,28,2009,0,0,0,1,1
1.0,8880,7,5,1994,948,1222,2110,2,3,1,4,8,130,2010,0,0,0,0,1
1.0,10400,7,5,1988,1845,1872,1872,2,3,1,3,6,39,2006,0,1,0,0,1
1.0,9142,6,8,1910,1020,908,1928,2,4,2,2,9,60,2006,0,1,0,0,0
1.0,11310,6,5,1954,1367,1375,1375,1,2,1,3,5,30,2006,0,0,0,0,1
1.0,11317,7,5,2003,840,840,1668,2,3,1,4,8,68,2007,0,0,0,0,1
1.0,159000,6,7,1958,1444,1444,2144,2,4,1,4,7,98,2007,0,1,0,0,1
1.0,5350,3,2,1940,728,1306,1306,1,3,1,2,6,0,2010,0,0,0,0,1
1.0,4750,8,5,2006,1573,1625,1625,2,2,1,4,5,0,2007,0,0,0,0,1
1.0,8366,6,5,2004,798,798,1640,2,3,1,4,6,45,2008,0,0,0,0,1
1.0,9350,6,7,1964,1302,1302,1302,2,3,1,4,7,0,2007,0,0,0,0,1
1.0,8400,5,6,1957,1314,1314,1314,1,3,1,3,5,0,2010,0,0,0,1,1
1.0,8738,7,5,1999,975,1005,2291,2,4,1,4,8,0,2006,0,0,0,0,1
1.0,8791,6,5,2003,864,864,1728,2,3,1,4,7,56,2008,0,0,0,0,1
1.0,8814,7,5,2006,1604,1604,1604,2,3,1,4,8,110,2009,0,0,0,0,1
1.0,12435,7,5,2001,963,963,1792,2,3,1,4,7,96,2008,0,0,0,0,1
1.0,12702,5,5,1956,0,882,882,1,2,1,3,4,45,2008,0,1,0,0,1
1.0,19296,6,5,1962,1362,1382,1382,1,3,1,3,6,0,2009,0,0,0,1,1
1.0,9588,8,5,2007,1482,1482,2574,2,3,1,5,10,148,2007,0,0,0,0,1
1.0,8471,6,7,1977,506,1212,1212,1,3,1,3,6,12,2006,0,0,0,1,1
1.0,5500,5,7,1929,926,926,1316,1,3,1,3,6,0,2010,0,0,0,1,1
1.0,5232,5,5,1925,680,764,764,1,2,1,3,4,0,2008,0,1,0,0,0
1.0,12090,6,6,1981,1422,1422,1422,2,3,1,4,7,0,2008,0,0,0,1,1
1.0,11207,6,5,1997,802,802,1511,2,3,1,3,8,75,2006,0,1,0,0,1
1.0,8400,5,8,1939,720,1052,2192,2,4,1,4,8,24,2008,0,0,0,0,1
1.0,6900,5,6,1940,740,778,778,1,2,1,3,4,25,2008,0,0,0,0,1
1.0,7917,6,7,1976,1143,1113,1113,1,3,1,3,6,30,2007,0,0,0,1,1
1.0,10728,8,5,2006,1095,1095,1939,2,3,1,4,8,51,2006,0,1,0,0,1
1.0,39104,7,7,1954,1385,1363,1363,1,2,1,3,5,0,2008,0,0,0,0,1
1.0,11764,8,7,1999,1152,1164,2270,2,4,1,4,9,57,2010,0,0,0,0,1
1.0,9600,6,6,1958,1240,1632,1632,2,3,1,3,6,0,2009,0,1,0,0,1
1.0,8314,5,7,1982,816,816,816,1,2,1,3,5,0,2007,0,0,0,1,1
1.0,7264,7,7,1925,952,952,1548,2,3,1,5,5,0,2009,0,1,0,0,0
1.0,9196,7,5,2003,1560,1560,1560,2,3,1,4,7,150,2010,0,0,0,0,1
1.0,19138,4,5,1951,864,864,864,1,2,1,3,4,0,2010,0,0,0,0,1
1.0,14450,9,5,2006,2121,2121,2121,2,3,1,5,8,98,2007,0,0,0,0,1
1.0,10005,7,5,1977,1160,1156,2022,2,4,1,3,8,117,2008,0,0,0,0,1
1.0,11287,7,6,1989,807,1175,1982,2,3,1,4,7,84,2007,0,1,0,0,1
1.0,7200,6,5,2006,1262,1262,1262,2,2,1,4,5,120,2006,0,1,0,0,1
1.0,5063,7,5,2007,1314,1314,1314,2,2,1,4,6,62,2009,0,0,0,0,1
1.0,9612,8,5,2008,1468,1468,1468,2,3,1,4,6,150,2009,0,0,0,0,1
1.0,8012,6,5,1992,1575,1575,1575,2,2,1,4,5,0,2007,0,1,0,0,1
1.0,4251,7,5,2006,625,625,1250,2,2,1,4,5,54,2007,0,0,0,0,1
1.0,9786,6,7,1962,912,1085,1734,1,3,1,4,7,0,2006,0,0,0,1,1
1.0,8125,4,4,1971,858,858,858,1,3,1,3,5,0,2006,0,0,0,1,1
1.0,9819,5,5,1967,882,900,900,1,3,1,3,5,0,2010,0,0,0,1,1
1.0,8730,6,7,1915,698,698,1396,1,3,1,3,7,0,2007,0,0,0,0,1
1.0,15611,8,5,2006,1079,1079,1919,2,3,1,4,8,51,2006,0,0,0,0,1
